,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4835019928,84,420,13,1607439813588,SOLO,TOP
1,KR,4835013573,85,420,13,1607437340634,SOLO,TOP
2,KR,4834426276,122,420,13,1607428266313,DUO_SUPPORT,NONE
3,KR,4834258418,164,420,13,1607425401505,SOLO,TOP
4,KR,4834320259,517,420,13,1607422952489,SOLO,MID
5,KR,4834225021,517,420,13,1607420676682,SOLO,TOP
6,KR,4834162016,84,420,13,1607418629714,DUO_SUPPORT,NONE
7,KR,4834065641,58,420,13,1607415576177,SOLO,TOP
8,KR,4834049939,84,420,13,1607413847433,DUO_SUPPORT,NONE
9,KR,4833945028,78,420,13,1607410587137,DUO,MID
10,KR,4833889581,41,420,13,1607408966026,SOLO,TOP
11,KR,4833875424,84,420,13,1607406609701,SOLO,TOP
12,KR,4833881670,23,420,13,1607404945280,SOLO,TOP
13,KR,4833072872,54,420,13,1607353220051,SOLO,TOP
14,KR,4833014806,122,420,13,1607350709645,DUO,MID
15,KR,4832769863,84,420,13,1607348804382,DUO_SUPPORT,NONE
16,KR,4832774243,41,420,13,1607347111140,SOLO,TOP
17,KR,4832460075,98,420,13,1607342427193,DUO,MID
18,KR,4832383067,106,420,13,1607340268591,SOLO,TOP
19,KR,4832305991,84,420,13,1607337697044,DUO_SUPPORT,NONE
20,KR,4832087403,81,420,13,1607328602635,DUO_CARRY,BOTTOM
21,KR,4832121911,516,420,13,1607326094833,DUO,MID
22,KR,4831997291,33,420,13,1607324004794,SOLO,TOP
23,KR,4831992341,164,420,13,1607321455803,SOLO,TOP
24,KR,4831891449,54,420,13,1607320226842,DUO_SUPPORT,NONE
25,KR,4830879907,236,420,13,1607264295035,DUO_SUPPORT,NONE
26,KR,4830355316,41,420,13,1607254106060,NONE,JUNGLE
27,KR,4830159420,54,420,13,1607249300172,DUO_SUPPORT,NONE
28,KR,4830213397,236,420,13,1607247374196,DUO_SUPPORT,NONE
29,KR,4830062081,517,420,13,1607243520362,SOLO,TOP
