,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4996797793,523,420,13,1613114082360,DUO_CARRY,BOTTOM
1,KR,4996709711,523,420,13,1613112059517,DUO_CARRY,BOTTOM
2,KR,4995709587,429,420,13,1613064624636,DUO_CARRY,BOTTOM
3,KR,4995696850,523,420,13,1613063401932,DUO_SUPPORT,NONE
4,KR,4995666034,360,420,13,1613060097053,DUO_CARRY,BOTTOM
5,KR,4995487795,145,420,13,1613057364626,DUO_CARRY,BOTTOM
6,KR,4995457519,498,420,13,1613055173092,DUO_CARRY,BOTTOM
7,KR,4995460401,523,420,13,1613053677688,DUO_SUPPORT,NONE
8,KR,4994762426,81,420,13,1613042674059,DUO_CARRY,BOTTOM
9,KR,4991175752,21,420,13,1612944257730,DUO_CARRY,BOTTOM
10,KR,4991139830,360,420,13,1612942688599,DUO_SUPPORT,NONE
11,KR,4991090849,523,420,13,1612939791766,DUO_CARRY,BOTTOM
12,KR,4991044802,145,420,13,1612938054009,DUO_CARRY,BOTTOM
13,KR,4989321170,89,420,13,1612870974354,DUO_SUPPORT,BOTTOM
14,KR,4989211266,429,420,13,1612868359616,DUO_CARRY,BOTTOM
15,KR,4988971576,145,420,13,1612865253463,DUO_SUPPORT,NONE
16,KR,4988804575,523,420,13,1612863278035,DUO_CARRY,BOTTOM
17,KR,4988665410,51,420,13,1612860305316,DUO_CARRY,BOTTOM
18,KR,4988548766,145,420,13,1612857863388,DUO_CARRY,BOTTOM
19,KR,4988552544,120,900,13,1612855885177,NONE,JUNGLE
20,KR,4988467929,42,900,13,1612854569583,DUO_SUPPORT,NONE
21,KR,4988414642,164,900,13,1612853143247,DUO_SUPPORT,NONE
22,KR,4988401257,4,900,13,1612851977283,DUO_SUPPORT,NONE
23,KR,4988347515,429,900,13,1612850910387,DUO_SUPPORT,NONE
24,KR,4987619961,498,420,13,1612806999781,DUO_CARRY,BOTTOM
25,KR,4987625624,498,420,13,1612804591397,DUO,BOTTOM
26,KR,4987590225,360,420,13,1612802007968,DUO_SUPPORT,NONE
27,KR,4987148674,145,420,13,1612795643958,DUO_CARRY,BOTTOM
28,KR,4986977153,222,900,13,1612792846905,DUO_CARRY,MID
29,KR,4987050745,777,900,13,1612791707167,DUO_SUPPORT,NONE
