,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4840279078,876,420,13,1607679769400,NONE,JUNGLE
1,KR,4840272968,163,420,13,1607677308603,NONE,JUNGLE
2,KR,4840224895,104,420,13,1607674372165,NONE,JUNGLE
3,KR,4840200168,104,420,13,1607672427181,NONE,JUNGLE
4,KR,4840053321,163,420,13,1607669325959,DUO_SUPPORT,NONE
5,KR,4840037953,104,420,13,1607667579343,NONE,JUNGLE
6,KR,4840041274,121,420,13,1607664818193,NONE,JUNGLE
7,KR,4839848569,164,420,13,1607662932757,DUO_SUPPORT,NONE
8,KR,4839872119,203,420,13,1607659718645,NONE,JUNGLE
9,KR,4831995400,104,420,13,1607322995874,NONE,JUNGLE
10,KR,4826256863,203,420,13,1607099905238,NONE,JUNGLE
11,KR,4826252102,104,420,13,1607098041135,DUO_SUPPORT,NONE
12,KR,4823722632,120,420,13,1607006826502,NONE,JUNGLE
13,KR,4823622781,104,420,13,1607003805890,NONE,JUNGLE
14,KR,4823049624,2,420,13,1606997715868,DUO_SUPPORT,NONE
15,KR,4803220199,2,420,13,1606222511349,NONE,JUNGLE
16,KR,4803123521,64,420,13,1606220529137,NONE,JUNGLE
17,KR,4796946624,120,420,13,1605963521135,NONE,JUNGLE
18,KR,4796737129,120,420,13,1605958051620,NONE,JUNGLE
19,KR,4792907894,64,420,13,1605790199734,NONE,JUNGLE
20,KR,4792446345,104,420,13,1605779329694,NONE,JUNGLE
21,KR,4792249924,104,420,13,1605776415702,NONE,JUNGLE
22,KR,4791706419,120,420,13,1605721907258,DUO_SUPPORT,NONE
23,KR,4791744086,120,420,13,1605720222716,NONE,JUNGLE
24,KR,4791609932,134,450,13,1605716849687,DUO_SUPPORT,NONE
25,KR,4791617273,84,450,13,1605715406042,DUO_SUPPORT,MID
26,KR,4790799189,104,420,13,1605699001613,NONE,JUNGLE
27,KR,4789836764,104,420,13,1605638627075,NONE,JUNGLE
28,KR,4789814656,876,420,13,1605635430246,NONE,JUNGLE
29,KR,4789811334,120,420,13,1605632563487,NONE,JUNGLE
