,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4986055486,141,420,13,1612768923532,NONE,JUNGLE
1,KR,4985619696,141,420,13,1612763336806,NONE,JUNGLE
2,KR,4985614533,141,420,13,1612761429083,NONE,JUNGLE
3,KR,4985580314,141,420,13,1612759687464,NONE,JUNGLE
4,KR,4974601603,76,420,13,1612421931947,NONE,JUNGLE
5,KR,4974504229,2,420,13,1612419119525,NONE,JUNGLE
6,KR,4972328644,36,420,13,1612340037502,NONE,JUNGLE
7,KR,4972304650,120,420,13,1612338495667,DUO_SUPPORT,NONE
8,KR,4972239515,36,420,13,1612336559222,NONE,JUNGLE
9,KR,4972214914,64,420,13,1612334824718,NONE,JUNGLE
10,KR,4967167984,2,420,13,1612158981563,NONE,JUNGLE
11,KR,4966848828,876,420,13,1612149308494,NONE,JUNGLE
12,KR,4966885852,60,420,13,1612148051492,DUO_SUPPORT,NONE
13,KR,4966795184,245,420,13,1612146273484,NONE,JUNGLE
14,KR,4959267318,2,420,13,1611909016581,NONE,JUNGLE
15,KR,4959203099,2,420,13,1611907210456,NONE,JUNGLE
16,KR,4949313663,22,420,13,1611558387056,DUO_SUPPORT,BOTTOM
17,KR,4949259160,120,420,13,1611556901542,DUO_SUPPORT,NONE
18,KR,4949123844,64,420,13,1611550538774,NONE,JUNGLE
19,KR,4949100007,2,420,13,1611548776837,NONE,JUNGLE
20,KR,4948803037,875,420,13,1611545204762,DUO_SUPPORT,BOTTOM
21,KR,4948678753,2,420,13,1611543251631,NONE,JUNGLE
22,KR,4939899011,876,420,13,1611289514694,NONE,JUNGLE
23,KR,4939516394,104,420,13,1611276210377,NONE,JUNGLE
24,KR,4939514151,64,420,13,1611273601718,NONE,JUNGLE
25,KR,4937505165,64,420,13,1611204030596,DUO_SUPPORT,NONE
26,KR,4937502039,875,420,13,1611202478593,DUO_SUPPORT,NONE
27,KR,4937436418,2,420,13,1611199435164,NONE,JUNGLE
28,KR,4937442530,875,420,13,1611197078736,DUO_SUPPORT,BOTTOM
29,KR,4937249880,875,420,13,1611195280951,DUO_SUPPORT,BOTTOM
