,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848330571,104,420,13,1607953384850,NONE,JUNGLE
1,KR,4848135136,76,420,13,1607949120986,NONE,JUNGLE
2,KR,4847944584,121,420,13,1607943003943,DUO_SUPPORT,TOP
3,KR,4843709774,163,430,13,1607785514076,NONE,JUNGLE
4,KR,4832538303,104,420,13,1607345386318,NONE,JUNGLE
5,KR,4832503913,121,420,13,1607343918865,DUO_SUPPORT,NONE
6,KR,4832259641,121,420,13,1607338819075,DUO_SUPPORT,NONE
7,KR,4832333699,876,420,13,1607336875019,DUO_SUPPORT,NONE
8,KR,4832260201,876,420,13,1607334761981,NONE,JUNGLE
9,KR,4832205505,141,420,13,1607332819912,NONE,JUNGLE
10,KR,4831995918,120,420,13,1607323259677,NONE,JUNGLE
11,KR,4823797709,141,420,13,1607012999177,NONE,JUNGLE
12,KR,4822778151,72,420,13,1606990528505,DUO_SUPPORT,NONE
13,KR,4822737847,121,420,13,1606985672512,NONE,JUNGLE
14,KR,4822279984,121,420,13,1606976464981,NONE,JUNGLE
15,KR,4822286667,64,420,13,1606974810553,DUO_SUPPORT,NONE
16,KR,4822213334,876,420,13,1606972859723,NONE,JUNGLE
17,KR,4821774842,876,420,13,1606930030086,NONE,JUNGLE
18,KR,4821751483,876,420,13,1606927650696,NONE,JUNGLE
19,KR,4821667333,876,420,13,1606925343672,DUO_SUPPORT,NONE
20,KR,4821449080,141,420,13,1606921653770,NONE,JUNGLE
21,KR,4821432539,875,420,13,1606919280998,DUO_SUPPORT,NONE
22,KR,4820688204,84,420,13,1606899833813,NONE,JUNGLE
23,KR,4820665371,421,420,13,1606898296978,DUO_SUPPORT,NONE
24,KR,4820631662,120,420,13,1606896312292,NONE,JUNGLE
25,KR,4820346323,98,420,13,1606893786096,SOLO,TOP
26,KR,4820238198,104,420,13,1606890012094,NONE,JUNGLE
27,KR,4819041688,2,420,13,1606829780053,NONE,JUNGLE
28,KR,4818738865,98,420,13,1606825955883,SOLO,TOP
29,KR,4818463763,421,420,13,1606820638525,NONE,JUNGLE
