,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848462555,60,420,13,1607960796787,NONE,JUNGLE
1,KR,4848355509,121,420,13,1607957824376,NONE,JUNGLE
2,KR,4848440248,141,420,13,1607956504761,DUO_SUPPORT,NONE
3,KR,4848293623,121,420,13,1607954020357,NONE,JUNGLE
4,KR,4846565819,876,420,13,1607878408094,NONE,JUNGLE
5,KR,4846540080,104,420,13,1607875098303,DUO_SUPPORT,NONE
6,KR,4844354047,5,1300,13,1607802302323,DUO_SUPPORT,NONE
7,KR,4844410432,163,420,13,1607799195343,NONE,JUNGLE
8,KR,4844327697,163,420,13,1607797076370,NONE,JUNGLE
9,KR,4843854881,163,420,13,1607787165580,NONE,JUNGLE
10,KR,4839304276,121,420,13,1607625961277,DUO_SUPPORT,NONE
11,KR,4839282950,121,420,13,1607624101983,NONE,JUNGLE
12,KR,4839270865,64,420,13,1607621888814,NONE,JUNGLE
13,KR,4839216560,64,420,13,1607618968745,NONE,JUNGLE
14,KR,4839153156,163,420,13,1607616356933,NONE,JUNGLE
15,KR,4838992817,76,420,13,1607608282070,NONE,JUNGLE
16,KR,4838917611,421,420,13,1607606795292,DUO_SUPPORT,NONE
17,KR,4833055818,104,420,13,1607354523859,DUO_SUPPORT,NONE
18,KR,4833072605,141,420,13,1607353133684,DUO_SUPPORT,NONE
19,KR,4832917981,111,420,13,1607351217452,DUO_SUPPORT,BOTTOM
20,KR,4833002225,203,420,13,1607349689895,NONE,JUNGLE
21,KR,4832333290,421,420,13,1607336698947,NONE,JUNGLE
22,KR,4831264380,876,420,13,1607276613657,NONE,JUNGLE
23,KR,4831250513,141,420,13,1607273321560,NONE,JUNGLE
24,KR,4831214023,2,420,13,1607270009164,NONE,JUNGLE
25,KR,4831170044,203,420,13,1607267957869,DUO_SUPPORT,NONE
26,KR,4831124570,64,420,13,1607266217139,NONE,JUNGLE
27,KR,4829062475,76,420,13,1607194778518,NONE,JUNGLE
28,KR,4805829636,60,420,13,1606328671743,NONE,JUNGLE
29,KR,4805739292,432,420,13,1606327053532,DUO_SUPPORT,NONE
