,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4836097500,164,420,13,1607500771252,SOLO,TOP
1,KR,4836052709,54,420,13,1607498551080,SOLO,TOP
2,KR,4835979555,164,420,13,1607497266035,DUO_SUPPORT,NONE
3,KR,4835993128,164,420,13,1607494369052,SOLO,TOP
4,KR,4835858752,164,420,13,1607492219287,DUO_SUPPORT,NONE
5,KR,4835933091,112,420,13,1607489311026,DUO,NONE
6,KR,4835129150,24,420,13,1607444467364,SOLO,TOP
7,KR,4835078621,164,420,13,1607443263628,DUO,NONE
8,KR,4835075513,266,420,13,1607441721292,DUO_SUPPORT,NONE
9,KR,4835019928,266,420,13,1607439813588,SOLO,TOP
10,KR,4835005127,266,420,13,1607437778708,SOLO,TOP
11,KR,4834891849,164,420,13,1607433477312,SOLO,TOP
12,KR,4834743566,126,420,13,1607430970433,SOLO,TOP
13,KR,4834445233,164,420,13,1607428013430,SOLO,TOP
14,KR,4834102871,164,420,13,1607414727147,DUO_SUPPORT,NONE
15,KR,4834017806,164,420,13,1607412560365,SOLO,TOP
16,KR,4833943839,266,420,13,1607409887333,SOLO,TOP
17,KR,4833729251,266,420,13,1607407699281,SOLO,TOP
18,KR,4833775246,8,420,13,1607405877293,DUO_CARRY,TOP
19,KR,4833840151,266,420,13,1607403552683,DUO_SUPPORT,MID
20,KR,4833505979,164,420,13,1607401060193,SOLO,TOP
21,KR,4833244575,12,420,13,1607360913425,DUO_SUPPORT,BOTTOM
22,KR,4833171468,164,420,13,1607357546986,SOLO,TOP
23,KR,4833127011,266,420,13,1607355703396,DUO_SUPPORT,NONE
24,KR,4833063531,84,420,13,1607353515792,SOLO,TOP
25,KR,4833014806,112,420,13,1607350709645,SOLO,MID
26,KR,4832951428,24,420,13,1607349277119,DUO_SUPPORT,NONE
27,KR,4832764126,164,420,13,1607347028397,NONE,JUNGLE
28,KR,4832466618,112,420,13,1607344450785,SOLO,TOP
29,KR,4832427049,164,420,13,1607341847372,SOLO,TOP
