,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4837447475,64,420,13,1607563731864,NONE,JUNGLE
1,KR,4837375023,876,420,13,1607560922255,NONE,JUNGLE
2,KR,4835472126,203,420,13,1607472832313,NONE,JUNGLE
3,KR,4835471278,64,420,13,1607471112743,DUO_SUPPORT,NONE
4,KR,4835610396,104,420,13,1607468085517,NONE,JUNGLE
5,KR,4833532803,145,420,13,1607399323484,DUO,NONE
6,KR,4833462771,203,420,13,1607398226465,DUO,NONE
7,KR,4833379279,64,420,13,1607395841271,NONE,JUNGLE
8,KR,4833385432,57,420,13,1607393243553,DUO_SUPPORT,BOTTOM
9,KR,4833382869,145,420,13,1607391136114,NONE,JUNGLE
10,KR,4833318738,875,420,13,1607387355525,DUO_SUPPORT,BOTTOM
11,KR,4832237190,64,420,13,1607333920794,NONE,JUNGLE
12,KR,4832200846,145,420,13,1607330444597,NONE,JUNGLE
13,KR,4832085483,64,420,13,1607327622589,NONE,JUNGLE
14,KR,4832091337,104,420,13,1607325602996,NONE,JUNGLE
15,KR,4822699986,145,420,13,1606986660064,DUO_SUPPORT,NONE
16,KR,4822715205,202,420,13,1606984262264,DUO_SUPPORT,NONE
17,KR,4822662238,517,420,13,1606982548202,NONE,JUNGLE
18,KR,4822618834,104,420,13,1606980925058,DUO_SUPPORT,TOP
19,KR,4822564694,164,420,13,1606978735334,NONE,JUNGLE
20,KR,4822631069,421,420,13,1606977050418,DUO_SUPPORT,NONE
21,KR,4822248163,421,420,13,1606975401145,NONE,JUNGLE
22,KR,4822220164,141,420,13,1606971202123,NONE,JUNGLE
23,KR,4822097750,120,420,13,1606969812199,DUO_SUPPORT,NONE
24,KR,4822134133,104,420,13,1606967743200,NONE,JUNGLE
25,KR,4815981572,113,420,13,1606720551121,NONE,JUNGLE
26,KR,4815737377,202,420,13,1606717901420,DUO,TOP
27,KR,4815783386,113,420,13,1606716414219,DUO_SUPPORT,NONE
28,KR,4815750387,104,420,13,1606714631086,NONE,JUNGLE
29,KR,4815655004,203,420,13,1606712090478,NONE,JUNGLE
