,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4988369905,35,450,13,1612851983982,DUO_SUPPORT,TOP
1,KR,4985230006,4,420,13,1612723805472,SOLO,BOTTOM
2,KR,4985088450,38,420,13,1612722012098,DUO,NONE
3,KR,4985154507,876,420,13,1612720040612,NONE,JUNGLE
4,KR,4985102048,238,420,13,1612718284052,DUO_SUPPORT,NONE
5,KR,4985027216,4,420,13,1612716138881,SOLO,MID
6,KR,4984917415,56,420,13,1612712664810,SOLO,MID
7,KR,4983330525,517,420,13,1612682935929,DUO_SUPPORT,NONE
8,KR,4982113738,56,420,13,1612636850000,SOLO,MID
9,KR,4982059414,13,420,13,1612634947952,DUO_CARRY,MID
10,KR,4982005208,13,420,13,1612632799963,SOLO,MID
11,KR,4981990215,147,420,13,1612631018920,DUO,NONE
12,KR,4981876554,38,420,13,1612629788606,DUO,NONE
13,KR,4981836572,134,420,13,1612627348032,SOLO,MID
14,KR,4981768637,147,420,13,1612625721061,DUO,NONE
15,KR,4981615941,13,420,13,1612622858001,SOLO,MID
16,KR,4981426688,268,420,13,1612619377864,SOLO,MID
17,KR,4980009604,13,420,13,1612595065819,SOLO,MID
18,KR,4978986368,4,420,13,1612552706113,SOLO,MID
19,KR,4978982304,76,420,13,1612549876546,NONE,JUNGLE
20,KR,4978861602,13,420,13,1612542339537,SOLO,MID
21,KR,4978741079,13,420,13,1612539690447,SOLO,MID
22,KR,4972246479,4,420,13,1612335435199,SOLO,MID
23,KR,4969549915,34,450,13,1612247255567,DUO_SUPPORT,NONE
24,KR,4968930924,42,420,13,1612198285192,SOLO,MID
25,KR,4968866341,4,420,13,1612196329935,SOLO,MID
26,KR,4968813862,4,420,13,1612195046903,DUO_SUPPORT,NONE
27,KR,4967347036,26,450,13,1612162345554,DUO_SUPPORT,NONE
28,KR,4966559603,268,420,13,1612115427189,SOLO,MID
29,KR,4966495924,61,420,13,1612112657822,DUO_SUPPORT,NONE
