,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4958196982,238,450,13,1611860032731,DUO_SUPPORT,NONE
1,KR,4897399666,41,420,13,1609811940321,SOLO,TOP
2,KR,4897319919,517,420,13,1609810047030,DUO,TOP
3,KR,4895272323,126,420,13,1609698040380,NONE,JUNGLE
4,KR,4895250189,24,420,13,1609695839828,SOLO,TOP
5,KR,4893691643,517,420,13,1609658191871,DUO_SUPPORT,NONE
6,KR,4893434350,126,420,13,1609655696842,DUO_SUPPORT,NONE
7,KR,4893386695,164,420,13,1609654674620,DUO,NONE
8,KR,4893366011,24,420,13,1609653329541,DUO_SUPPORT,NONE
9,KR,4893281699,777,420,13,1609649577978,SOLO,TOP
10,KR,4893251086,245,420,13,1609647525619,NONE,JUNGLE
11,KR,4893143325,84,420,13,1609643554199,DUO,MID
12,KR,4892729530,41,420,13,1609610546623,SOLO,TOP
13,KR,4892726479,236,420,13,1609608809225,NONE,JUNGLE
14,KR,4892667453,67,420,13,1609605984051,SOLO,TOP
15,KR,4892635054,517,420,13,1609604644700,DUO_SUPPORT,NONE
16,KR,4891917409,777,420,13,1609591198758,SOLO,TOP
17,KR,4891766888,39,420,13,1609586969900,SOLO,TOP
18,KR,4891649203,164,420,13,1609584836698,NONE,JUNGLE
19,KR,4891574425,875,420,13,1609581903658,SOLO,TOP
20,KR,4891456353,875,420,13,1609579522453,DUO,TOP
21,KR,4890988381,236,420,13,1609572379996,NONE,JUNGLE
22,KR,4890326569,777,420,13,1609531962590,DUO,MID
23,KR,4890299437,133,420,13,1609530713044,DUO,NONE
24,KR,4890421702,84,420,13,1609528595665,DUO_SUPPORT,NONE
25,KR,4890239052,266,420,13,1609526208659,NONE,JUNGLE
26,KR,4890187965,164,420,13,1609524229299,DUO,NONE
27,KR,4890157367,41,420,13,1609521779716,NONE,JUNGLE
28,KR,4890153495,67,420,13,1609519971558,DUO_CARRY,BOTTOM
29,KR,4890080802,126,420,13,1609517087714,NONE,JUNGLE
