,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4849677003,164,420,13,1608024255988,SOLO,TOP
1,KR,4849603359,64,420,13,1608022158076,NONE,JUNGLE
2,KR,4848681336,34,420,13,1607967173473,SOLO,MID
3,KR,4848499951,104,420,13,1607965051740,NONE,JUNGLE
4,KR,4848516178,64,420,13,1607963114160,NONE,JUNGLE
5,KR,4848492856,64,420,13,1607961095272,NONE,JUNGLE
6,KR,4848446681,64,420,13,1607958978380,NONE,JUNGLE
7,KR,4848406188,104,420,13,1607958454242,DUO,NONE
8,KR,4848443009,64,420,13,1607957546798,DUO,NONE
9,KR,4848304670,245,420,13,1607954480649,NONE,JUNGLE
10,KR,4848189401,64,420,13,1607952833717,NONE,JUNGLE
11,KR,4848182032,245,420,13,1607950753181,NONE,JUNGLE
12,KR,4848075940,104,420,13,1607949049308,DUO_SUPPORT,NONE
13,KR,4848019854,876,420,13,1607947544634,DUO_SUPPORT,NONE
14,KR,4848004137,64,420,13,1607945799693,NONE,JUNGLE
15,KR,4847857813,64,420,13,1607943578196,NONE,JUNGLE
16,KR,4847872041,517,420,13,1607941625855,DUO_SUPPORT,NONE
17,KR,4847300061,517,420,13,1607928668699,SOLO,TOP
18,KR,4847175768,517,420,13,1607926542575,SOLO,TOP
19,KR,4847203332,203,420,13,1607925736855,DUO,NONE
20,KR,4847085935,203,420,13,1607922029215,NONE,JUNGLE
21,KR,4846770835,202,420,13,1607882625985,DUO_CARRY,BOTTOM
22,KR,4846558558,517,420,13,1607880345617,DUO_SUPPORT,NONE
23,KR,4846566184,104,420,13,1607878647735,NONE,JUNGLE
24,KR,4846562349,245,420,13,1607876433736,NONE,JUNGLE
25,KR,4846374415,245,420,13,1607872739372,DUO_SUPPORT,NONE
26,KR,4846410461,245,420,13,1607871322332,DUO_SUPPORT,NONE
27,KR,4846069373,876,420,13,1607867407071,NONE,JUNGLE
28,KR,4846130367,64,420,13,1607865152637,NONE,JUNGLE
29,KR,4846012502,64,420,13,1607863073665,NONE,JUNGLE
