,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4996914778,238,900,13,1613115768811,DUO,NONE
1,KR,4996829770,203,900,13,1613114557202,DUO_SUPPORT,NONE
2,KR,4996845112,32,900,13,1613113511928,DUO_SUPPORT,NONE
3,KR,4996781546,23,900,13,1613112319577,DUO,NONE
4,KR,4996667853,92,900,13,1613111257133,DUO_SUPPORT,NONE
5,KR,4996733242,62,900,13,1613110368170,DUO_SUPPORT,NONE
6,KR,4996549940,112,900,13,1613109045674,DUO,NONE
7,KR,4996633156,57,900,13,1613107431248,DUO,TOP
8,KR,4990138712,29,900,13,1612896188976,DUO_SUPPORT,NONE
9,KR,4990088058,35,900,13,1612895105000,DUO_SUPPORT,NONE
10,KR,4990144519,203,440,13,1612893340688,NONE,JUNGLE
11,KR,4990130960,104,900,13,1612891177293,DUO_SUPPORT,NONE
12,KR,4990028640,61,900,13,1612890021063,DUO_SUPPORT,NONE
13,KR,4990025850,131,900,13,1612888850388,DUO_SUPPORT,NONE
14,KR,4989984556,79,900,13,1612888145664,DUO,NONE
15,KR,4989991174,117,900,13,1612886983055,DUO_SUPPORT,NONE
16,KR,4989938084,60,900,13,1612886212685,DUO,NONE
17,KR,4989916001,203,900,13,1612885447131,DUO,NONE
18,KR,4989892859,517,900,13,1612884470875,DUO_SUPPORT,NONE
19,KR,4989349670,80,420,13,1612873104693,SOLO,TOP
20,KR,4985009860,777,450,13,1612717092005,DUO_SUPPORT,NONE
21,KR,4985064846,234,450,13,1612715527505,SOLO,BOTTOM
22,KR,4985051813,126,450,13,1612714196709,DUO,NONE
23,KR,4984967410,234,450,13,1612712960610,DUO_SUPPORT,NONE
24,KR,4984886226,517,450,13,1612712133174,DUO_SUPPORT,NONE
25,KR,4981733076,34,420,13,1612624402602,DUO_SUPPORT,NONE
26,KR,4981555841,34,420,13,1612621157326,SOLO,MID
27,KR,4981396509,34,420,13,1612619348988,DUO_SUPPORT,NONE
28,KR,4981323839,84,420,13,1612617159001,SOLO,TOP
29,KR,4981180544,34,420,13,1612614753465,SOLO,MID
