,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4835193975,120,420,13,1607447425412,NONE,JUNGLE
1,KR,4817005140,120,420,13,1606748470107,DUO_SUPPORT,NONE
2,KR,4803444682,121,420,13,1606230660079,DUO_SUPPORT,NONE
3,KR,4803298067,61,420,13,1606228032725,SOLO,MID
4,KR,4803372938,104,420,13,1606226521080,DUO_SUPPORT,NONE
5,KR,4803086155,517,420,13,1606218357073,SOLO,MID
6,KR,4802799949,497,420,13,1606216096309,DUO_SUPPORT,NONE
7,KR,4802744041,61,420,13,1606213547087,SOLO,MID
8,KR,4800992229,59,420,13,1606131186307,NONE,JUNGLE
9,KR,4800786207,113,420,13,1606129053413,NONE,JUNGLE
10,KR,4800731888,2,420,13,1606126936702,NONE,JUNGLE
11,KR,4800625573,236,420,13,1606123828552,SOLO,MID
12,KR,4800660935,104,420,13,1606121631391,NONE,JUNGLE
13,KR,4797207677,60,420,13,1605966850434,NONE,JUNGLE
14,KR,4796932429,145,420,13,1605962404756,SOLO,BOTTOM
15,KR,4796882254,202,420,13,1605959887123,DUO,NONE
16,KR,4795482685,121,420,13,1605894241774,NONE,JUNGLE
17,KR,4795387874,2,420,13,1605891631501,NONE,JUNGLE
18,KR,4795370728,141,420,13,1605888541049,DUO_SUPPORT,NONE
19,KR,4795215476,12,420,13,1605886312091,DUO_SUPPORT,BOTTOM
20,KR,4793326995,76,420,13,1605805158904,NONE,JUNGLE
21,KR,4793381681,60,420,13,1605802661736,DUO_SUPPORT,NONE
22,KR,4793266032,2,420,13,1605799830166,NONE,JUNGLE
23,KR,4793162193,12,420,13,1605794795477,DUO_SUPPORT,BOTTOM
24,KR,4793042809,164,420,13,1605791777893,SOLO,TOP
25,KR,4792947603,517,420,13,1605790216440,DUO_SUPPORT,NONE
26,KR,4792809519,104,420,13,1605787748584,NONE,JUNGLE
27,KR,4792840549,113,420,13,1605785010055,NONE,JUNGLE
28,KR,4791782542,876,420,13,1605719509920,NONE,JUNGLE
29,KR,4791710505,111,420,13,1605717483891,DUO_SUPPORT,NONE
