,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4998171879,104,900,13,1613139197151,DUO,MID
1,KR,4998133088,245,900,13,1613137572701,DUO_CARRY,MID
2,KR,4996782157,36,900,13,1613112492872,NONE,JUNGLE
3,KR,4996677385,145,430,13,1613111255223,DUO,NONE
4,KR,4996648456,245,430,13,1613109060463,NONE,JUNGLE
5,KR,4996553004,235,430,13,1613107045697,SOLO,BOTTOM
6,KR,4996355909,141,430,13,1613104654055,NONE,JUNGLE
7,KR,4996410956,67,430,13,1613103231252,DUO_SUPPORT,NONE
8,KR,4996099282,145,430,13,1613101969241,DUO,NONE
9,KR,4996183900,39,430,13,1613100158738,SOLO,TOP
10,KR,4996161833,32,900,13,1613099001439,DUO_SUPPORT,NONE
11,KR,4996100195,360,900,13,1613097604709,DUO_SUPPORT,NONE
12,KR,4992887724,203,420,13,1612981682379,NONE,JUNGLE
13,KR,4992894424,203,420,13,1612980073761,DUO_SUPPORT,NONE
14,KR,4992901503,203,420,13,1612978742290,DUO_SUPPORT,NONE
15,KR,4992806380,203,420,13,1612976826523,NONE,JUNGLE
16,KR,4992714686,203,420,13,1612973342085,DUO_SUPPORT,NONE
17,KR,4992638606,203,420,13,1612971831022,DUO_SUPPORT,NONE
18,KR,4992549041,203,420,13,1612969796128,NONE,JUNGLE
19,KR,4992500294,203,420,13,1612967849355,NONE,JUNGLE
20,KR,4986996602,245,420,13,1612792936561,NONE,JUNGLE
21,KR,4986907622,77,420,13,1612791135876,DUO_SUPPORT,NONE
22,KR,4986846085,77,420,13,1612788889697,NONE,JUNGLE
23,KR,4986756664,203,420,13,1612787012160,NONE,JUNGLE
24,KR,4986616598,77,420,13,1612784439212,NONE,JUNGLE
25,KR,4986591647,77,420,13,1612783165187,DUO_SUPPORT,NONE
26,KR,4985739576,134,420,13,1612766690013,DUO_SUPPORT,NONE
27,KR,4985715628,92,420,13,1612765278688,DUO_SUPPORT,NONE
28,KR,4985617746,64,420,13,1612762665414,NONE,JUNGLE
29,KR,4985623538,36,420,13,1612761137181,DUO_SUPPORT,NONE
