,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850405275,236,420,13,1608039588415,SOLO,MID
1,KR,4850296314,164,420,13,1608036901276,SOLO,MID
2,KR,4850235312,157,420,13,1608034025530,SOLO,MID
3,KR,4850058332,2,420,13,1608031565324,NONE,JUNGLE
4,KR,4850071234,202,420,13,1608029424300,DUO_CARRY,BOTTOM
5,KR,4849776149,202,420,13,1608027199421,DUO_CARRY,BOTTOM
6,KR,4849494127,157,420,13,1608018379686,SOLO,MID
7,KR,4849368349,84,420,13,1608016046215,SOLO,MID
8,KR,4849441914,84,420,13,1608013965553,SOLO,MID
9,KR,4849286714,126,420,13,1608011181609,SOLO,MID
10,KR,4849281508,157,420,13,1608008825211,DUO_SUPPORT,NONE
11,KR,4849213803,84,420,13,1608005256392,DUO_SUPPORT,NONE
12,KR,4848597116,3,420,13,1607971464095,SOLO,MID
13,KR,4848641119,126,420,13,1607966431498,DUO,TOP
14,KR,4848556137,58,420,13,1607963592489,DUO,TOP
15,KR,4848493847,875,420,13,1607961575675,DUO_CARRY,MID
16,KR,4848419569,157,420,13,1607959823269,DUO_SUPPORT,NONE
17,KR,4848209917,202,420,13,1607953055707,DUO_CARRY,BOTTOM
18,KR,4848182139,517,420,13,1607950768353,SOLO,MID
19,KR,4848084396,163,420,13,1607948656304,DUO,NONE
20,KR,4848000809,61,420,13,1607944758929,SOLO,MID
21,KR,4847860365,163,420,13,1607940990061,DUO,MID
22,KR,4843253615,126,420,13,1607773006360,SOLO,MID
23,KR,4843197443,518,420,13,1607771377076,SOLO,MID
24,KR,4843161205,777,420,13,1607769416077,SOLO,MID
25,KR,4843063458,875,420,13,1607767017288,SOLO,MID
26,KR,4842756495,84,420,13,1607764462580,DUO_SUPPORT,NONE
27,KR,4842583847,79,450,13,1607760401877,DUO_SUPPORT,NONE
28,KR,4842253897,875,420,13,1607750622983,DUO_SUPPORT,NONE
29,KR,4842169239,875,420,13,1607748914640,DUO,NONE
