,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4841107965,14,450,13,1607694589202,DUO_SUPPORT,NONE
1,KR,4841072371,777,450,13,1607693068988,DUO,TOP
2,KR,4841015641,41,420,13,1607691565753,SOLO,TOP
3,KR,4840879712,875,420,13,1607689886300,DUO_SUPPORT,NONE
4,KR,4840708225,39,420,13,1607686390341,SOLO,TOP
5,KR,4840700580,875,420,13,1607683891631,SOLO,TOP
6,KR,4840391511,236,420,13,1607680947575,DUO,MID
7,KR,4840336420,2,1300,13,1607679011304,DUO_SUPPORT,NONE
8,KR,4839272158,126,420,13,1607623085564,SOLO,TOP
9,KR,4839209324,164,420,13,1607620788368,SOLO,TOP
10,KR,4839196266,517,420,13,1607618449891,SOLO,TOP
11,KR,4839018929,141,430,13,1607610376316,NONE,JUNGLE
12,KR,4838971132,39,420,13,1607607685736,SOLO,TOP
13,KR,4838913688,2,420,13,1607605584221,NONE,JUNGLE
14,KR,4838775190,80,420,13,1607602730299,DUO_SUPPORT,NONE
15,KR,4837021422,6,450,13,1607521031042,DUO_SUPPORT,NONE
16,KR,4836858046,101,450,13,1607519829116,DUO_SUPPORT,NONE
17,KR,4834319813,61,450,13,1607426362960,DUO_SUPPORT,NONE
18,KR,4834276751,145,450,13,1607424819721,DUO_SUPPORT,MID
19,KR,4834263323,222,450,13,1607423474729,DUO,NONE
20,KR,4834250002,114,450,13,1607421967708,SOLO,TOP
21,KR,4834235898,266,450,13,1607420924734,DUO_SUPPORT,NONE
22,KR,4833436783,523,450,13,1607394826539,DUO,NONE
23,KR,4826485832,164,420,13,1607118622592,SOLO,TOP
24,KR,4826455600,164,420,13,1607116842547,SOLO,TOP
25,KR,4823126461,41,420,13,1606999336314,DUO_SUPPORT,NONE
26,KR,4822997465,114,420,13,1606997019288,SOLO,TOP
27,KR,4823031198,266,420,13,1606995313070,SOLO,TOP
28,KR,4822856884,98,420,13,1606993786521,DUO_SUPPORT,NONE
29,KR,4822931477,518,420,13,1606991951128,DUO_SUPPORT,NONE
