,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4997503617,39,450,13,1613130966669,DUO,NONE
1,KR,4997409481,106,450,13,1613130001100,DUO_SUPPORT,NONE
2,KR,4997404084,42,450,13,1613128663737,DUO_SUPPORT,NONE
3,KR,4997356644,17,450,13,1613126996512,DUO_SUPPORT,TOP
4,KR,4996988117,54,450,13,1613119007808,DUO_SUPPORT,TOP
5,KR,4997012437,7,450,13,1613117650824,DUO_SUPPORT,NONE
6,KR,4996924293,121,450,13,1613115687473,DUO,TOP
7,KR,4996858724,41,450,13,1613114457826,DUO_SUPPORT,NONE
8,KR,4996804421,517,450,13,1613113144040,DUO_SUPPORT,NONE
9,KR,4996638733,68,450,13,1613109145942,DUO_SUPPORT,NONE
10,KR,4995292364,875,450,13,1613051454326,DUO_SUPPORT,NONE
11,KR,4995205559,7,450,13,1613050070761,DUO_SUPPORT,NONE
12,KR,4995158676,64,450,13,1613048909025,DUO_SUPPORT,NONE
13,KR,4995140710,48,450,13,1613047122299,DUO_SUPPORT,NONE
14,KR,4994310709,4,450,13,1613033770788,DUO_SUPPORT,NONE
15,KR,4994237767,523,450,13,1613033080220,DUO,NONE
16,KR,4994242818,238,450,13,1613031889551,DUO_SUPPORT,NONE
17,KR,4994133857,12,440,13,1613029724974,DUO_SUPPORT,NONE
18,KR,4991130512,54,420,13,1612939851351,SOLO,TOP
19,KR,4990379659,25,450,13,1612922698225,DUO_SUPPORT,NONE
20,KR,4989634243,202,450,13,1612878095576,DUO_SUPPORT,NONE
21,KR,4989557937,30,450,13,1612876888595,DUO_SUPPORT,NONE
22,KR,4989442119,81,450,13,1612873517414,DUO,MID
23,KR,4989335591,498,450,13,1612871939481,DUO_SUPPORT,TOP
24,KR,4989209302,523,450,13,1612870356018,DUO,TOP
25,KR,4989152491,54,450,13,1612868463474,DUO_SUPPORT,NONE
26,KR,4989066630,876,450,13,1612867011477,DUO_SUPPORT,TOP
27,KR,4988395823,14,440,13,1612853569957,SOLO,MID
28,KR,4988401398,14,440,13,1612852143238,DUO_SUPPORT,NONE
29,KR,4988304065,90,430,13,1612849619062,SOLO,MID
