,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4998101233,876,420,13,1613137252868,NONE,JUNGLE
1,KR,4997709948,164,420,13,1613134799564,SOLO,TOP
2,KR,4997077855,84,420,13,1613121631318,SOLO,TOP
3,KR,4996979535,150,420,13,1613119457228,SOLO,TOP
4,KR,4997031968,164,420,13,1613117786412,DUO_SUPPORT,NONE
5,KR,4996874155,79,420,13,1613115600902,SOLO,TOP
6,KR,4995751297,98,420,13,1613061759973,DUO_SUPPORT,NONE
7,KR,4995657063,360,420,13,1613060321457,DUO_SUPPORT,NONE
8,KR,4995613335,360,420,13,1613058925967,DUO,NONE
9,KR,4992904187,141,900,13,1612979805620,SOLO,BOTTOM
10,KR,4992911624,42,900,13,1612978656170,DUO_SUPPORT,NONE
11,KR,4992835172,360,420,13,1612976483253,DUO_CARRY,BOTTOM
12,KR,4992746762,498,420,13,1612974032955,DUO_CARRY,BOTTOM
13,KR,4992629173,164,420,13,1612971983326,SOLO,TOP
14,KR,4992559952,234,420,13,1612970058815,SOLO,TOP
15,KR,4992407998,526,420,13,1612967408443,DUO_SUPPORT,BOTTOM
16,KR,4992337041,39,420,13,1612965282883,SOLO,TOP
17,KR,4992238137,234,420,13,1612963642201,SOLO,TOP
18,KR,4992202529,234,420,13,1612962488595,DUO_SUPPORT,NONE
19,KR,4987644474,164,420,13,1612804085545,SOLO,TOP
20,KR,4987590611,80,420,13,1612802181511,DUO,TOP
21,KR,4987474703,85,420,13,1612800276249,SOLO,TOP
22,KR,4987401713,150,420,13,1612799021411,DUO_SUPPORT,NONE
23,KR,4987213033,164,420,13,1612796611021,SOLO,TOP
24,KR,4987111614,39,420,13,1612793991096,SOLO,TOP
25,KR,4986980907,517,420,13,1612791689043,SOLO,TOP
26,KR,4986932191,126,420,13,1612790109589,DUO_SUPPORT,NONE
27,KR,4985079766,14,420,13,1612722988266,DUO_SUPPORT,NONE
28,KR,4985162777,104,420,13,1612719370564,NONE,JUNGLE
29,KR,4985121225,266,420,13,1612717947674,DUO_SUPPORT,NONE
