,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850414686,142,420,13,1608039441612,SOLO,MID
1,KR,4849513206,420,450,13,1608018118227,DUO_SUPPORT,NONE
2,KR,4848469571,58,420,13,1607964632985,DUO,TOP
3,KR,4848506643,875,420,13,1607963142886,DUO_SUPPORT,NONE
4,KR,4848502395,115,420,13,1607960921904,SOLO,MID
5,KR,4848448037,115,420,13,1607959569633,DUO_SUPPORT,NONE
6,KR,4848400188,112,420,13,1607956241710,SOLO,MID
7,KR,4848250774,246,420,13,1607953113645,DUO,MID
8,KR,4847507445,516,420,13,1607936073426,SOLO,TOP
9,KR,4847276094,42,420,13,1607930950688,DUO_SUPPORT,MID
10,KR,4846639303,246,420,13,1607881607673,DUO_SUPPORT,NONE
11,KR,4846605393,58,420,13,1607878507444,DUO,MID
12,KR,4846621925,69,420,13,1607876603466,SOLO,TOP
13,KR,4846457824,126,420,13,1607874949287,SOLO,MID
14,KR,4846224541,236,420,13,1607869269229,SOLO,MID
15,KR,4846106135,3,420,13,1607866706146,SOLO,MID
16,KR,4845829751,21,420,13,1607859722531,DUO_CARRY,BOTTOM
17,KR,4845765192,875,420,13,1607858330270,DUO_SUPPORT,NONE
18,KR,4845716222,245,420,13,1607856055052,SOLO,MID
19,KR,4845584070,134,420,13,1607852394709,DUO_SUPPORT,NONE
20,KR,4844269081,236,420,13,1607797984776,DUO,NONE
21,KR,4844323456,142,420,13,1607794511086,SOLO,MID
22,KR,4844134268,131,450,13,1607790232756,DUO_CARRY,TOP
23,KR,4844121281,64,1300,13,1607789165138,DUO_SUPPORT,NONE
24,KR,4843702971,421,420,13,1607783717446,DUO_SUPPORT,NONE
25,KR,4843577235,268,420,13,1607782066835,DUO_SUPPORT,NONE
26,KR,4843305037,236,420,13,1607773596275,SOLO,MID
27,KR,4841750934,875,420,13,1607710914348,SOLO,MID
28,KR,4841535913,39,420,13,1607707769948,SOLO,MID
29,KR,4841551937,126,420,13,1607705923759,DUO_SUPPORT,MID
