,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4831564249,61,420,13,1607315780321,DUO,NONE
1,KR,4819798623,112,420,13,1606873518965,DUO,NONE
2,KR,4815505752,142,420,13,1606705437728,SOLO,MID
3,KR,4815382217,126,420,13,1606692497774,DUO,MID
4,KR,4814736505,61,420,13,1606659791050,SOLO,MID
5,KR,4814731458,245,420,13,1606658133781,DUO_SUPPORT,NONE
6,KR,4814660904,84,420,13,1606655369786,DUO_CARRY,MID
7,KR,4814570631,7,420,13,1606652584716,SOLO,MID
8,KR,4814414118,7,420,13,1606650416638,SOLO,MID
9,KR,4814254148,7,420,13,1606647581757,SOLO,MID
10,KR,4814086370,142,420,13,1606645851108,DUO_SUPPORT,NONE
11,KR,4813918340,236,420,13,1606643111902,SOLO,MID
12,KR,4813815474,142,420,13,1606641058576,SOLO,MID
13,KR,4813737871,84,420,13,1606638970986,SOLO,MID
14,KR,4812856787,142,420,13,1606609204036,DUO,NONE
15,KR,4812806849,142,420,13,1606606385280,SOLO,MID
16,KR,4812873953,142,420,13,1606603038948,SOLO,MID
17,KR,4811899602,7,420,13,1606568602153,DUO,MID
18,KR,4811902167,84,420,13,1606566702814,DUO,NONE
19,KR,4811747722,142,420,13,1606565336361,DUO_SUPPORT,NONE
20,KR,4811668088,7,420,13,1606562573711,SOLO,MID
21,KR,4811603400,7,420,13,1606560636579,DUO,TOP
22,KR,4811494716,84,420,13,1606557502730,SOLO,MID
23,KR,4811299115,61,420,13,1606555365994,DUO_CARRY,MID
24,KR,4811381169,61,420,13,1606553017173,SOLO,MID
25,KR,4811104629,236,420,13,1606550630225,SOLO,MID
26,KR,4811030289,517,420,13,1606548502732,DUO,BOTTOM
27,KR,4810914393,142,420,13,1606546400668,SOLO,MID
28,KR,4809517512,84,420,13,1606482172935,DUO_CARRY,MID
29,KR,4809279485,246,420,13,1606479920269,SOLO,MID
