,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4071203442,21,420,13,1578411165377,DUO_SUPPORT,NONE
1,KR,4067712896,21,420,13,1578235630056,DUO,NONE
2,KR,4067654659,21,420,13,1578233762367,DUO_CARRY,BOTTOM
3,KR,4067501953,110,420,13,1578230407589,DUO_CARRY,BOTTOM
4,KR,4067336188,145,420,13,1578228779228,DUO_SUPPORT,NONE
5,KR,4067276505,69,420,13,1578226729797,DUO_CARRY,BOTTOM
6,KR,4067223141,110,420,13,1578224374139,DUO_CARRY,BOTTOM
7,KR,4065841660,412,420,13,1578159305057,DUO_SUPPORT,BOTTOM
8,KR,4065699724,21,420,13,1578155212791,DUO_CARRY,BOTTOM
9,KR,4065682961,145,420,13,1578153030448,DUO_CARRY,BOTTOM
10,KR,4065680756,222,420,13,1578152418486,DUO,NONE
11,KR,4065572991,69,420,13,1578150136133,DUO_CARRY,BOTTOM
12,KR,4065494965,110,420,13,1578148161936,SOLO,BOTTOM
13,KR,4065465373,81,420,13,1578146333794,SOLO,BOTTOM
14,KR,4065257223,134,420,13,1578141883941,DUO_CARRY,BOTTOM
15,KR,4065205828,110,420,13,1578139970104,DUO_CARRY,BOTTOM
16,KR,4064954599,157,420,13,1578136364476,DUO_CARRY,BOTTOM
17,KR,4064867381,145,420,13,1578134975501,DUO_SUPPORT,NONE
18,KR,4064791034,58,420,13,1578132575302,SOLO,TOP
19,KR,4064359323,110,420,13,1578121005789,DUO_CARRY,BOTTOM
20,KR,4064309247,134,420,13,1578118475712,DUO_CARRY,BOTTOM
21,KR,4064254100,498,420,13,1578115929498,DUO_CARRY,BOTTOM
22,KR,4064168504,498,420,13,1578113741781,DUO_CARRY,BOTTOM
23,KR,4064195824,21,420,13,1578113280770,DUO,NONE
24,KR,4064162162,498,420,13,1578111004491,DUO_CARRY,BOTTOM
25,KR,4063632094,110,420,13,1578068770877,DUO_CARRY,BOTTOM
26,KR,4063507427,110,420,13,1578067294761,DUO_SUPPORT,NONE
27,KR,4063326828,145,420,13,1578064001847,NONE,JUNGLE
28,KR,4063312177,145,420,13,1578062700523,DUO_SUPPORT,NONE
29,KR,4063232640,21,420,13,1578060499466,DUO_CARRY,BOTTOM
