,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4997708533,246,900,13,1613134410755,DUO_SUPPORT,NONE
1,KR,4997703662,142,900,13,1613133334643,DUO,NONE
2,KR,4789855427,38,450,13,1605636941573,SOLO,TOP
3,KR,4789881999,236,450,13,1605633847404,DUO,NONE
4,KR,4789821283,98,450,13,1605632529361,DUO_SUPPORT,NONE
5,KR,4774826680,120,420,13,1605015720968,NONE,JUNGLE
6,KR,4774542067,876,420,13,1605003900633,DUO_SUPPORT,NONE
7,KR,4752279100,12,420,13,1604124605940,DUO_SUPPORT,BOTTOM
8,KR,4749301716,104,420,13,1603987946340,NONE,JUNGLE
9,KR,4749196680,876,420,13,1603985800573,DUO_SUPPORT,NONE
10,KR,4749180595,104,420,13,1603983513911,DUO_SUPPORT,NONE
11,KR,4749019337,64,420,13,1603980147407,NONE,JUNGLE
12,KR,4749011956,76,420,13,1603978216024,NONE,JUNGLE
13,KR,4748880865,104,420,13,1603975293137,NONE,JUNGLE
14,KR,4748804365,64,420,13,1603973615369,DUO_SUPPORT,NONE
15,KR,4748381027,89,420,13,1603969648001,DUO_SUPPORT,BOTTOM
16,KR,4748110834,876,420,13,1603957833730,NONE,JUNGLE
17,KR,4748016905,76,420,13,1603956080648,DUO_SUPPORT,NONE
18,KR,4748032060,120,420,13,1603953910018,DUO_SUPPORT,NONE
19,KR,4742318241,104,420,13,1603698965146,NONE,JUNGLE
20,KR,4742248883,30,420,13,1603695530591,NONE,JUNGLE
21,KR,4738959128,120,420,13,1603553811468,NONE,JUNGLE
22,KR,4738874430,30,420,13,1603551814840,NONE,JUNGLE
23,KR,4738728962,876,420,13,1603548216963,NONE,JUNGLE
24,KR,4737933922,89,420,13,1603532055223,DUO_SUPPORT,BOTTOM
25,KR,4737648839,104,420,13,1603524688273,NONE,JUNGLE
26,KR,4732622850,104,420,13,1603301444022,NONE,JUNGLE
27,KR,4732473023,876,420,13,1603295580469,NONE,JUNGLE
28,KR,4732431144,30,420,13,1603291401489,NONE,JUNGLE
29,KR,4732352095,104,420,13,1603288994068,NONE,JUNGLE
