,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4984497603,147,420,13,1612704108854,SOLO,MID
1,KR,4976160054,134,420,13,1612461704878,SOLO,MID
2,KR,4976037298,134,420,13,1612459810765,DUO_SUPPORT,NONE
3,KR,4975974486,517,420,13,1612457820132,SOLO,MID
4,KR,4975939730,134,420,13,1612455853065,SOLO,MID
5,KR,4975745842,39,420,13,1612448267021,SOLO,MID
6,KR,4975598612,777,420,13,1612446377700,SOLO,MID
7,KR,4975539635,142,420,13,1612444423654,SOLO,MID
8,KR,4975002607,67,420,13,1612434032531,SOLO,MID
9,KR,4974778958,126,420,13,1612432675417,DUO_SUPPORT,NONE
10,KR,4974749977,142,420,13,1612429141964,SOLO,MID
11,KR,4974375151,134,420,13,1612415295202,SOLO,MID
12,KR,4973765261,517,420,13,1612376952523,SOLO,MID
13,KR,4973733132,517,420,13,1612375093508,DUO,MID
14,KR,4973681060,234,420,13,1612373550562,DUO_SUPPORT,NONE
15,KR,4973595838,68,420,13,1612370591033,DUO,TOP
16,KR,4973591326,777,420,13,1612368633112,SOLO,MID
17,KR,4973495836,234,420,13,1612366523086,DUO,BOTTOM
18,KR,4973455740,61,420,13,1612363524459,DUO,MID
19,KR,4973317191,4,420,13,1612361267446,SOLO,MID
20,KR,4972565529,113,420,13,1612347098040,NONE,JUNGLE
21,KR,4972449931,777,420,13,1612344853458,SOLO,MID
22,KR,4972454759,142,420,13,1612342751251,DUO_SUPPORT,NONE
23,KR,4971361517,4,420,13,1612287721271,DUO_SUPPORT,NONE
24,KR,4971269463,126,420,13,1612286424016,DUO_SUPPORT,NONE
25,KR,4971236683,4,420,13,1612284543837,SOLO,MID
26,KR,4968750966,245,420,13,1612190968640,DUO_SUPPORT,NONE
27,KR,4967706069,4,420,13,1612173516534,SOLO,MID
28,KR,4967740383,147,420,13,1612171515395,SOLO,MID
29,KR,4967136145,91,420,13,1612158062824,DUO_CARRY,MID
