,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4845794587,517,440,13,1607858274244,DUO,TOP
1,KR,4845724772,131,440,13,1607855649580,SOLO,MID
2,KR,4845637030,39,440,13,1607853352943,SOLO,MID
3,KR,4845498525,8,440,13,1607851107337,SOLO,TOP
4,KR,4845481838,126,440,13,1607848755230,DUO,MID
5,KR,4845247813,85,440,13,1607847492935,DUO_SUPPORT,NONE
6,KR,4845048715,164,440,13,1607844966037,SOLO,TOP
7,KR,4844960622,126,440,13,1607842482931,SOLO,TOP
8,KR,4844915546,38,440,13,1607841208263,DUO_SUPPORT,NONE
9,KR,4844799455,35,440,13,1607839369706,DUO_SUPPORT,MID
10,KR,4844801305,236,440,13,1607836726246,DUO_CARRY,BOTTOM
11,KR,4844695410,89,420,13,1607834590498,SOLO,BOTTOM
12,KR,4840457716,57,420,13,1607683615433,DUO_SUPPORT,BOTTOM
13,KR,4840441500,202,420,13,1607681144688,DUO_CARRY,BOTTOM
14,KR,4840257574,875,420,13,1607679087897,DUO_SUPPORT,BOTTOM
15,KR,4840313040,350,420,13,1607677594345,DUO_SUPPORT,NONE
16,KR,4836326293,875,420,13,1607509136124,DUO_SUPPORT,BOTTOM
17,KR,4836302350,412,420,13,1607507329938,SOLO,BOTTOM
18,KR,4836158875,432,420,13,1607505787245,DUO_SUPPORT,NONE
19,KR,4836165242,412,420,13,1607504137207,DUO_SUPPORT,BOTTOM
20,KR,4836067952,79,420,13,1607500920523,DUO_SUPPORT,BOTTOM
21,KR,4834306292,412,420,13,1607425157783,DUO_SUPPORT,BOTTOM
22,KR,4834248956,89,420,13,1607422671739,DUO_SUPPORT,BOTTOM
23,KR,4834224791,875,420,13,1607420573563,DUO_SUPPORT,BOTTOM
24,KR,4834202023,412,420,13,1607419111428,DUO_SUPPORT,NONE
25,KR,4833947029,12,420,13,1607411467467,DUO_SUPPORT,BOTTOM
26,KR,4834020611,875,420,13,1607409245667,DUO_SUPPORT,BOTTOM
27,KR,4833806017,12,420,13,1607406513402,DUO_SUPPORT,BOTTOM
28,KR,4833772478,79,420,13,1607404372570,DUO_SUPPORT,BOTTOM
29,KR,4832707455,875,420,13,1607347797348,DUO_SUPPORT,BOTTOM
