,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4831421924,142,440,13,1607291327826,SOLO,MID
1,KR,4831381453,64,440,13,1607288650715,NONE,JUNGLE
2,KR,4830062081,875,420,13,1607243520362,DUO_SUPPORT,BOTTOM
3,KR,4829755067,55,420,13,1607241174014,DUO,MID
4,KR,4829566318,142,420,13,1607238338881,SOLO,MID
5,KR,4829610458,81,430,13,1607236338390,DUO_SUPPORT,NONE
6,KR,4829008364,145,440,13,1607203964850,DUO_CARRY,BOTTOM
7,KR,4829056978,81,440,13,1607201265576,DUO_CARRY,BOTTOM
8,KR,4829095345,523,440,13,1607199136863,DUO_CARRY,BOTTOM
9,KR,4827255689,432,420,13,1607153144690,DUO_SUPPORT,NONE
10,KR,4827300557,79,420,13,1607151499748,DUO_SUPPORT,MID
11,KR,4826864418,55,420,13,1607145371614,DUO_SUPPORT,BOTTOM
12,KR,4826780853,22,420,13,1607143276054,DUO_SUPPORT,NONE
13,KR,4826706054,412,420,13,1607141122929,DUO_SUPPORT,BOTTOM
14,KR,4826475629,523,440,13,1607117845914,DUO_CARRY,BOTTOM
15,KR,4826534019,81,440,13,1607115633025,DUO,MID
16,KR,4826482844,89,420,13,1607112075578,DUO_SUPPORT,BOTTOM
17,KR,4826398147,43,420,13,1607106689105,DUO_SUPPORT,BOTTOM
18,KR,4826285131,429,430,13,1607099293220,DUO_CARRY,BOTTOM
19,KR,4826209124,523,430,13,1607097227501,DUO_CARRY,BOTTOM
20,KR,4825465972,555,420,13,1607084842919,DUO_SUPPORT,BOTTOM
21,KR,4823850390,7,450,13,1607014025986,SOLO,BOTTOM
22,KR,4823683392,145,420,13,1607007008515,DUO_SUPPORT,NONE
23,KR,4823597592,875,420,13,1607005198976,DUO_SUPPORT,BOTTOM
24,KR,4823592889,64,450,13,1607003663849,DUO_SUPPORT,NONE
25,KR,4821849481,223,420,13,1606935320564,DUO_SUPPORT,NONE
26,KR,4821835719,8,450,13,1606930849919,DUO_SUPPORT,NONE
27,KR,4821784292,59,450,13,1606929465482,DUO_SUPPORT,NONE
28,KR,4821504626,3,420,13,1606920115057,DUO_SUPPORT,BOTTOM
29,KR,4819996450,523,430,13,1606878434358,SOLO,TOP
