,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850202159,89,420,13,1608032917964,DUO_SUPPORT,BOTTOM
1,KR,4849847737,412,420,13,1608028242579,DUO_SUPPORT,BOTTOM
2,KR,4839553609,526,440,13,1607655017409,DUO_SUPPORT,BOTTOM
3,KR,4839531040,526,440,13,1607653080237,DUO_SUPPORT,BOTTOM
4,KR,4833575352,117,420,13,1607401402150,DUO_SUPPORT,BOTTOM
5,KR,4833510199,89,420,13,1607397184445,DUO_SUPPORT,BOTTOM
6,KR,4833217138,350,420,13,1607362691287,DUO_SUPPORT,NONE
7,KR,4833166066,350,420,13,1607360573967,DUO_SUPPORT,NONE
8,KR,4833182163,25,420,13,1607358343632,DUO_SUPPORT,BOTTOM
9,KR,4833117515,43,420,13,1607355934530,DUO_SUPPORT,MID
10,KR,4833103943,350,420,13,1607354132255,DUO_SUPPORT,BOTTOM
11,KR,4832987551,25,420,13,1607351521618,DUO_SUPPORT,BOTTOM
12,KR,4832788986,147,420,13,1607348574988,DUO_SUPPORT,BOTTOM
13,KR,4832772215,350,420,13,1607346486149,DUO_SUPPORT,BOTTOM
14,KR,4832503856,43,420,13,1607343916176,SOLO,TOP
15,KR,4832397452,25,420,13,1607341875675,DUO_SUPPORT,BOTTOM
16,KR,4832337889,25,420,13,1607338589078,DUO_SUPPORT,BOTTOM
17,KR,4832332044,25,420,13,1607336168218,DUO_SUPPORT,BOTTOM
18,KR,4832226739,43,420,13,1607333598590,DUO_SUPPORT,BOTTOM
19,KR,4832182739,147,420,13,1607331311064,DUO_SUPPORT,BOTTOM
20,KR,4832099407,147,420,13,1607329600370,DUO_SUPPORT,NONE
21,KR,4832114233,350,420,13,1607327161401,DUO_SUPPORT,BOTTOM
22,KR,4831995918,43,420,13,1607323259677,DUO_SUPPORT,BOTTOM
23,KR,4831890616,25,420,13,1607319777895,SOLO,BOTTOM
24,KR,4831625973,57,420,13,1607317462837,DUO_SUPPORT,BOTTOM
25,KR,4831601457,89,420,13,1607314452789,DUO_SUPPORT,BOTTOM
26,KR,4829781372,497,420,13,1607240042938,DUO_SUPPORT,BOTTOM
27,KR,4825272118,89,420,13,1607076615651,DUO_SUPPORT,BOTTOM
28,KR,4824613566,89,420,13,1607058600223,SOLO,BOTTOM
29,KR,4824570728,117,420,13,1607057007967,DUO_SUPPORT,NONE
