,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4820181674,236,420,13,1606886882908,DUO_SUPPORT,NONE
1,KR,4800029556,360,430,13,1606067264150,DUO_CARRY,BOTTOM
2,KR,4800036698,236,430,13,1606065080880,SOLO,MID
3,KR,4800035224,236,430,13,1606063928384,DUO,NONE
4,KR,4774929341,64,430,13,1605020159148,NONE,JUNGLE
5,KR,4774931410,517,430,13,1605017290418,NONE,JUNGLE
6,KR,4774779442,104,430,13,1605016101814,DUO_SUPPORT,NONE
7,KR,4772662056,55,450,13,1604920337277,DUO_SUPPORT,TOP
8,KR,4772429035,360,420,13,1604916247845,DUO_CARRY,BOTTOM
9,KR,4772432979,202,420,13,1604913921736,DUO_CARRY,BOTTOM
10,KR,4772345183,429,420,13,1604910953043,SOLO,BOTTOM
11,KR,4772079415,145,420,13,1604903312235,SOLO,BOTTOM
12,KR,4771946936,202,420,13,1604889254375,DUO,MID
13,KR,4771718440,145,420,13,1604859513414,DUO_CARRY,BOTTOM
14,KR,4771665511,81,420,13,1604851890430,DUO_CARRY,BOTTOM
15,KR,4770502055,202,420,13,1604828528890,DUO_CARRY,BOTTOM
16,KR,4770335625,22,420,13,1604824011897,DUO_CARRY,BOTTOM
17,KR,4770245560,22,420,13,1604821352718,DUO_CARRY,BOTTOM
18,KR,4770146326,202,420,13,1604818960847,DUO,TOP
19,KR,4768587260,429,420,13,1604757774936,DUO_SUPPORT,NONE
20,KR,4765945532,429,420,13,1604670441765,SOLO,MID
21,KR,4764035271,22,420,13,1604583597291,DUO_CARRY,BOTTOM
22,KR,4761898562,202,420,13,1604497764514,DUO_CARRY,BOTTOM
23,KR,4759981454,22,420,13,1604410504446,DUO_CARRY,BOTTOM
24,KR,4758003300,81,420,13,1604319815641,DUO_CARRY,BOTTOM
25,KR,4756286759,145,420,13,1604238430267,DUO_SUPPORT,NONE
26,KR,4753600270,84,450,13,1604152891506,DUO_SUPPORT,NONE
27,KR,4753472554,22,420,13,1604150657253,DUO_CARRY,BOTTOM
28,KR,4750859401,202,420,13,1604063204559,SOLO,BOTTOM
29,KR,4748992058,202,420,13,1603978190473,DUO_CARRY,BOTTOM
