,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4987592459,81,420,13,1612802901365,DUO_CARRY,BOTTOM
1,KR,4987137457,234,420,13,1612795393416,SOLO,MID
2,KR,4986844370,516,420,13,1612788593945,SOLO,TOP
3,KR,4986676698,26,420,13,1612786821080,SOLO,MID
4,KR,4981724250,18,420,13,1612624581718,SOLO,MID
5,KR,4980356052,429,420,13,1612601707370,DUO,TOP
6,KR,4980189727,67,420,13,1612599842053,DUO,NONE
7,KR,4980193951,777,420,13,1612598457169,DUO_SUPPORT,NONE
8,KR,4980125808,236,420,13,1612596657950,DUO_SUPPORT,NONE
9,KR,4978890296,236,420,13,1612544669978,SOLO,MID
10,KR,4978804246,777,420,13,1612542891801,SOLO,MID
11,KR,4978735527,134,420,13,1612540741404,DUO,MID
12,KR,4978623780,777,420,13,1612538058974,SOLO,MID
13,KR,4978560691,875,420,13,1612535598605,SOLO,TOP
14,KR,4978227709,18,420,13,1612531525117,SOLO,MID
15,KR,4978154897,236,420,13,1612529262054,SOLO,TOP
16,KR,4977917609,517,420,13,1612527642172,DUO_SUPPORT,NONE
17,KR,4977062234,777,420,13,1612505972987,DUO,NONE
18,KR,4976125079,134,420,13,1612465989778,SOLO,MID
19,KR,4976113583,38,420,13,1612464259143,SOLO,MID
20,KR,4976110727,236,420,13,1612461811420,DUO,TOP
21,KR,4975996178,13,420,13,1612458817387,SOLO,MID
22,KR,4976022089,134,420,13,1612456879973,SOLO,MID
23,KR,4975877668,236,420,13,1612454825824,DUO_SUPPORT,NONE
24,KR,4975922188,236,420,13,1612452832017,SOLO,MID
25,KR,4975728536,236,420,13,1612448896762,SOLO,MID
26,KR,4971093023,4,420,13,1612278913670,SOLO,MID
27,KR,4970975616,61,420,13,1612276907902,SOLO,MID
28,KR,4968977085,777,420,13,1612202782488,SOLO,MID
29,KR,4968849425,268,420,13,1612197574522,SOLO,MID
