,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848191080,85,420,13,1607950506722,SOLO,TOP
1,KR,4847971067,202,420,13,1607944675728,DUO_SUPPORT,NONE
2,KR,4847600024,164,420,13,1607936635141,DUO_SUPPORT,NONE
3,KR,4847276094,126,420,13,1607930950688,SOLO,TOP
4,KR,4846247841,266,420,13,1607870483909,DUO_SUPPORT,NONE
5,KR,4845921734,236,420,13,1607860246211,DUO_CARRY,BOTTOM
6,KR,4845765192,81,420,13,1607858330270,DUO,NONE
7,KR,4845716222,266,420,13,1607856055052,SOLO,TOP
8,KR,4841230086,875,420,13,1607695399952,SOLO,TOP
9,KR,4841143178,126,420,13,1607693785817,DUO_SUPPORT,NONE
10,KR,4841003276,102,450,13,1607690753134,DUO,TOP
11,KR,4840947374,82,450,13,1607689435619,DUO,NONE
12,KR,4840778186,85,450,13,1607686472593,DUO_SUPPORT,MID
13,KR,4840774886,3,450,13,1607685442187,DUO_SUPPORT,NONE
14,KR,4840800643,36,450,13,1607684228237,DUO_SUPPORT,NONE
15,KR,4840377876,517,450,13,1607683008830,DUO_SUPPORT,NONE
16,KR,4840384073,43,450,13,1607681742577,DUO_SUPPORT,NONE
17,KR,4840327684,111,420,13,1607679528470,DUO_SUPPORT,BOTTOM
18,KR,4840302925,266,420,13,1607677517425,DUO,TOP
19,KR,4838292571,202,420,13,1607594441892,DUO_SUPPORT,NONE
20,KR,4837176876,114,450,13,1607531633558,DUO,TOP
21,KR,4837213359,202,450,13,1607529786315,DUO,MID
22,KR,4837059279,266,450,13,1607527495705,DUO_SUPPORT,TOP
23,KR,4836350594,266,420,13,1607506642482,DUO,MID
24,KR,4836207704,85,420,13,1607505318090,DUO_SUPPORT,NONE
25,KR,4834328198,58,420,13,1607425938580,SOLO,TOP
26,KR,4834186338,266,420,13,1607420902613,SOLO,TOP
27,KR,4833027247,112,420,13,1607351676073,DUO_SUPPORT,NONE
28,KR,4832433863,157,450,13,1607340629143,DUO,TOP
29,KR,4831112574,238,450,13,1607265158774,DUO_SUPPORT,NONE
