,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4844816215,64,420,13,1607838406701,DUO_SUPPORT,NONE
1,KR,4844719908,121,420,13,1607836294197,DUO_SUPPORT,NONE
2,KR,4839993888,104,420,13,1607665514185,NONE,JUNGLE
3,KR,4839827761,120,420,13,1607662454504,NONE,JUNGLE
4,KR,4839840700,876,420,13,1607658687991,NONE,JUNGLE
5,KR,4835947632,163,420,13,1607491717676,NONE,JUNGLE
6,KR,4835883591,163,420,13,1607489568452,DUO_SUPPORT,NONE
7,KR,4835920644,245,420,13,1607487886365,NONE,JUNGLE
8,KR,4835846517,163,420,13,1607485343334,NONE,JUNGLE
9,KR,4831933748,876,420,13,1607321746079,NONE,JUNGLE
10,KR,4831579605,121,420,13,1607319222761,DUO_SUPPORT,NONE
11,KR,4831606081,64,420,13,1607317382883,DUO_SUPPORT,NONE
12,KR,4831641112,104,420,13,1607314598984,DUO_SUPPORT,NONE
13,KR,4831580315,81,420,13,1607313430438,DUO_SUPPORT,NONE
14,KR,4829582791,104,420,13,1607237126586,NONE,JUNGLE
15,KR,4829477515,266,420,13,1607235322054,DUO_SUPPORT,NONE
16,KR,4829482927,141,420,13,1607233635842,DUO_SUPPORT,NONE
17,KR,4829447545,104,420,13,1607231777033,NONE,JUNGLE
18,KR,4829289938,141,420,13,1607228209275,NONE,JUNGLE
19,KR,4829274502,141,420,13,1607225057861,NONE,JUNGLE
20,KR,4828259847,81,440,13,1607177052118,DUO_CARRY,BOTTOM
21,KR,4826683536,876,420,13,1607139510230,NONE,JUNGLE
22,KR,4826730285,120,420,13,1607137910326,DUO_SUPPORT,NONE
23,KR,4826568870,203,420,13,1607136379195,DUO_SUPPORT,NONE
24,KR,4826585106,203,420,13,1607133548786,DUO_SUPPORT,NONE
25,KR,4824791667,145,420,13,1607066913399,NONE,JUNGLE
26,KR,4824696649,141,420,13,1607064745542,NONE,JUNGLE
27,KR,4824654605,141,420,13,1607063395622,DUO_SUPPORT,NONE
28,KR,4824629953,876,420,13,1607061749758,NONE,JUNGLE
29,KR,4824595587,104,420,13,1607059503764,NONE,JUNGLE
