,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4849464365,104,420,13,1608018397386,DUO_SUPPORT,NONE
1,KR,4848622514,64,420,13,1607967048398,NONE,JUNGLE
2,KR,4848189401,76,420,13,1607952833717,NONE,JUNGLE
3,KR,4848191080,104,420,13,1607950506722,NONE,JUNGLE
4,KR,4847453921,64,420,13,1607934202163,NONE,JUNGLE
5,KR,4847288080,64,420,13,1607931783377,NONE,JUNGLE
6,KR,4846457824,76,420,13,1607874949287,NONE,JUNGLE
7,KR,4846440529,104,420,13,1607871412189,NONE,JUNGLE
8,KR,4843862163,76,420,13,1607786274610,NONE,JUNGLE
9,KR,4843655290,117,420,13,1607784178733,SOLO,MID
10,KR,4843585053,64,420,13,1607781534502,NONE,JUNGLE
11,KR,4843504018,876,420,13,1607778755805,NONE,JUNGLE
12,KR,4843390643,64,420,13,1607775179642,NONE,JUNGLE
13,KR,4842565561,39,420,13,1607761033470,SOLO,MID
14,KR,4841529009,421,420,13,1607709721809,DUO_SUPPORT,NONE
15,KR,4841495925,421,420,13,1607707635752,NONE,JUNGLE
16,KR,4841447611,104,420,13,1607704492169,DUO_SUPPORT,NONE
17,KR,4841433827,104,420,13,1607702655460,NONE,JUNGLE
18,KR,4841258313,421,420,13,1607700460040,NONE,JUNGLE
19,KR,4841076234,163,420,13,1607694176645,NONE,JUNGLE
20,KR,4841037155,104,420,13,1607692031816,NONE,JUNGLE
21,KR,4840908937,203,420,13,1607689737675,NONE,JUNGLE
22,KR,4840873443,203,420,13,1607688088440,NONE,JUNGLE
23,KR,4839879102,163,420,13,1607663325170,DUO_SUPPORT,NONE
24,KR,4833159612,141,450,13,1607363543007,DUO,NONE
25,KR,4833177543,104,420,13,1607361906081,NONE,JUNGLE
26,KR,4833224772,104,420,13,1607360629147,DUO_SUPPORT,NONE
27,KR,4833163938,84,420,13,1607359051941,DUO,NONE
28,KR,4833150736,141,420,13,1607357032469,NONE,JUNGLE
29,KR,4833076815,421,420,13,1607355101396,DUO_SUPPORT,NONE
