,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4850410961,145,420,13,1608038391393,DUO_CARRY,BOTTOM
1,KR,4850293012,360,420,13,1608035936825,NONE,JUNGLE
2,KR,4850151692,61,420,13,1608032398478,DUO_CARRY,MID
3,KR,4850012909,145,420,13,1608029621612,DUO_CARRY,BOTTOM
4,KR,4849836089,61,420,13,1608027554984,SOLO,MID
5,KR,4849599957,81,420,13,1608024926284,DUO_CARRY,BOTTOM
6,KR,4849644651,53,420,13,1608022950669,DUO_SUPPORT,NONE
7,KR,4849517065,21,420,13,1608019812199,DUO_CARRY,BOTTOM
8,KR,4848362874,145,420,13,1607956913781,DUO_CARRY,BOTTOM
9,KR,4848293623,145,420,13,1607954020357,NONE,JUNGLE
10,KR,4848219374,53,420,13,1607952906389,DUO_SUPPORT,NONE
11,KR,4848164110,145,420,13,1607951227739,DUO,NONE
12,KR,4848107458,8,450,13,1607949450192,DUO_SUPPORT,NONE
13,KR,4848141074,64,450,13,1607947916269,SOLO,TOP
14,KR,4848007122,61,420,13,1607946679600,DUO,NONE
15,KR,4848012561,145,420,13,1607945304184,DUO,NONE
16,KR,4847945934,145,420,13,1607943470393,DUO_SUPPORT,NONE
17,KR,4847648222,61,420,13,1607940181276,SOLO,MID
18,KR,4847509696,145,420,13,1607936993224,DUO_SUPPORT,NONE
19,KR,4847495157,145,420,13,1607934901076,DUO_CARRY,BOTTOM
20,KR,4847441086,145,420,13,1607932966510,DUO_CARRY,BOTTOM
21,KR,4847353006,61,420,13,1607930230047,DUO,MID
22,KR,4847330278,112,420,13,1607928902927,DUO_SUPPORT,NONE
23,KR,4846554071,145,420,13,1607877324563,DUO,NONE
24,KR,4846570640,145,420,13,1607875619457,DUO_SUPPORT,NONE
25,KR,4846375670,145,420,13,1607873227591,DUO_CARRY,BOTTOM
26,KR,4846258470,145,420,13,1607870947637,DUO,BOTTOM
27,KR,4846183572,145,420,13,1607868775387,DUO_CARRY,BOTTOM
28,KR,4846028161,145,420,13,1607864571797,DUO,MID
29,KR,4845939700,145,420,13,1607862346934,DUO_CARRY,BOTTOM
