,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4980535407,12,420,13,1612606712251,DUO_SUPPORT,BOTTOM
1,KR,4953431435,80,420,13,1611684729142,NONE,JUNGLE
2,KR,4948417125,77,420,13,1611514885718,NONE,JUNGLE
3,KR,4948424020,163,420,13,1611512438613,NONE,JUNGLE
4,KR,4948382208,76,420,13,1611509839729,DUO_SUPPORT,NONE
5,KR,4937973421,80,420,13,1611219240506,NONE,JUNGLE
6,KR,4937848037,76,420,13,1611217041256,NONE,JUNGLE
7,KR,4937842775,876,420,13,1611215094665,NONE,JUNGLE
8,KR,4937717273,80,420,13,1611212928850,NONE,JUNGLE
9,KR,4937731730,876,420,13,1611210933050,DUO_SUPPORT,NONE
10,KR,4936853712,20,420,13,1611165024765,NONE,JUNGLE
11,KR,4936729472,80,420,13,1611162272338,NONE,JUNGLE
12,KR,4936616510,60,420,13,1611156657928,NONE,JUNGLE
13,KR,4936551763,104,420,13,1611154386894,NONE,JUNGLE
14,KR,4936339591,76,420,13,1611151682931,NONE,JUNGLE
15,KR,4771708644,9,420,13,1604859485398,DUO_SUPPORT,NONE
16,KR,4771684068,876,420,13,1604855632901,NONE,JUNGLE
17,KR,4771659280,203,420,13,1604853552767,NONE,JUNGLE
18,KR,4771595384,203,420,13,1604851192099,NONE,JUNGLE
19,KR,4771549261,76,420,13,1604849112125,NONE,JUNGLE
20,KR,4769201877,245,420,13,1604777644148,NONE,JUNGLE
21,KR,4769119708,7,420,13,1604775694562,SOLO,TOP
22,KR,4769077323,164,420,13,1604773800565,DUO_SUPPORT,NONE
23,KR,4769143141,76,420,13,1604771989528,DUO_SUPPORT,NONE
24,KR,4769018108,57,420,13,1604769268715,DUO_SUPPORT,BOTTOM
25,KR,4767879645,104,420,13,1604746471922,NONE,JUNGLE
26,KR,4767793198,104,420,13,1604744293504,NONE,JUNGLE
27,KR,4767717410,104,420,13,1604742719304,DUO_SUPPORT,NONE
28,KR,4767645036,120,420,13,1604738905127,NONE,JUNGLE
29,KR,4767516361,876,420,13,1604736321562,NONE,JUNGLE
