,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4960775674,19,430,13,1611941892784,NONE,JUNGLE
1,KR,4960722438,13,430,13,1611940295930,SOLO,TOP
2,KR,4960607526,523,430,13,1611938548360,DUO_CARRY,BOTTOM
3,KR,4904507782,117,430,13,1610087355667,DUO,NONE
4,KR,4896818370,117,430,13,1609770492178,DUO_SUPPORT,NONE
5,KR,4896812397,13,430,13,1609768645059,SOLO,TOP
6,KR,4896551531,21,430,13,1609759971435,DUO_CARRY,TOP
7,KR,4895084390,13,430,13,1609691075294,SOLO,TOP
8,KR,4695623798,245,430,13,1601827659832,DUO_SUPPORT,NONE
9,KR,4695374889,81,430,13,1601821207592,DUO_CARRY,BOTTOM
10,KR,4677070346,79,430,13,1601219949692,DUO_SUPPORT,NONE
11,KR,4669512104,238,430,13,1600960871552,DUO_SUPPORT,NONE
12,KR,4669417479,119,430,13,1600959267396,DUO,MID
13,KR,4531284884,523,430,13,1595700534636,DUO_CARRY,BOTTOM
14,KR,4452506887,523,430,13,1592337664558,DUO_CARRY,BOTTOM
15,KR,4452545623,111,430,13,1592336460234,DUO_SUPPORT,NONE
16,KR,4444228214,523,430,13,1592010321210,DUO,NONE
17,KR,4444225845,523,430,13,1592008315734,DUO_CARRY,BOTTOM
18,KR,4443751146,523,430,13,1591972351485,DUO_CARRY,BOTTOM
19,KR,4443016786,41,430,13,1591963266696,SOLO,TOP
20,KR,4442047614,120,430,13,1591906127295,DUO_SUPPORT,NONE
21,KR,4442046840,235,430,13,1591904743020,DUO_SUPPORT,NONE
22,KR,4442036119,523,430,13,1591903563720,DUO,NONE
23,KR,4442024921,76,430,13,1591901775683,NONE,JUNGLE
24,KR,4441223259,523,430,13,1591879625427,NONE,JUNGLE
25,KR,4440130923,523,430,13,1591809186023,DUO_CARRY,BOTTOM
26,KR,4440008062,523,430,13,1591807433760,DUO_CARRY,BOTTOM
27,KR,4439574962,64,430,13,1591798180322,NONE,JUNGLE
28,KR,4439460000,523,430,13,1591796679709,DUO_CARRY,BOTTOM
29,KR,4439346477,523,430,13,1591792814217,DUO_CARRY,BOTTOM
