,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4839255655,142,420,13,1607626779821,SOLO,MID
1,KR,4839332298,134,420,13,1607623864454,SOLO,MID
2,KR,4839197642,134,420,13,1607619377741,SOLO,MID
3,KR,4839210209,236,420,13,1607615246350,DUO,MID
4,KR,4839116370,104,420,13,1607613476118,DUO_SUPPORT,NONE
5,KR,4835175006,54,420,13,1607447460810,SOLO,TOP
6,KR,4835171823,126,420,13,1607445256096,SOLO,MID
7,KR,4835126785,84,420,13,1607443186874,SOLO,MID
8,KR,4835114519,84,420,13,1607441913517,DUO,NONE
9,KR,4835131081,84,420,13,1607440396071,DUO_SUPPORT,NONE
10,KR,4835045807,126,420,13,1607438373676,DUO,TOP
11,KR,4834023300,4,420,13,1607410489563,SOLO,MID
12,KR,4832831787,245,420,13,1607346605628,DUO,MID
13,KR,4831305135,84,420,13,1607277768946,DUO,BOTTOM
14,KR,4831262044,84,420,13,1607274577416,SOLO,MID
15,KR,4793164930,84,420,13,1605795642444,SOLO,MID
16,KR,4793008741,517,420,13,1605793367252,DUO,MID
17,KR,4764315107,875,420,13,1604594072768,DUO,MID
18,KR,4764199898,76,420,13,1604591588414,NONE,JUNGLE
19,KR,4764213458,58,420,13,1604589099846,SOLO,MID
20,KR,4764155211,202,420,13,1604586403204,DUO_CARRY,BOTTOM
21,KR,4763997788,777,420,13,1604584196448,DUO,MID
22,KR,4763972021,203,420,13,1604582624614,DUO_SUPPORT,NONE
23,KR,4763797947,69,420,13,1604578925820,DUO_CARRY,MID
24,KR,4763043437,777,420,13,1604558053310,DUO,TOP
25,KR,4762889970,84,420,13,1604556019964,SOLO,MID
26,KR,4762965112,84,420,13,1604553559439,SOLO,MID
27,KR,4761813763,777,420,13,1604493902846,SOLO,MID
28,KR,4761764230,777,420,13,1604491444110,SOLO,MID
29,KR,4761606002,523,420,13,1604489066870,DUO_CARRY,BOTTOM
