,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848590143,104,420,13,1607965015089,DUO_SUPPORT,NONE
1,KR,4815232550,104,420,13,1606672602860,NONE,JUNGLE
2,KR,4811902183,2,420,13,1606566653096,DUO_SUPPORT,NONE
3,KR,4807964131,497,420,13,1606414885133,DUO_SUPPORT,BOTTOM
4,KR,4803511331,876,420,13,1606233631043,NONE,JUNGLE
5,KR,4803477591,104,420,13,1606231999034,DUO_SUPPORT,NONE
6,KR,4803335732,120,420,13,1606227301837,DUO_SUPPORT,NONE
7,KR,4803217598,121,420,13,1606224695230,NONE,JUNGLE
8,KR,4803272275,120,420,13,1606223278721,DUO_SUPPORT,NONE
9,KR,4803165162,20,420,13,1606221093733,NONE,JUNGLE
10,KR,4803009804,32,420,13,1606219349357,DUO_SUPPORT,NONE
11,KR,4799571937,875,420,13,1606053018018,SOLO,TOP
12,KR,4799443191,12,420,13,1606050798153,DUO_SUPPORT,BOTTOM
13,KR,4797940416,32,420,13,1605993708642,NONE,JUNGLE
14,KR,4797839222,106,420,13,1605990820885,NONE,JUNGLE
15,KR,4797817403,80,420,13,1605987393021,DUO_SUPPORT,BOTTOM
16,KR,4795416547,3,420,13,1605895993810,SOLO,MID
17,KR,4795390787,64,420,13,1605892225724,NONE,JUNGLE
18,KR,4795344918,141,420,13,1605889892397,NONE,JUNGLE
19,KR,4795290917,32,420,13,1605888110474,NONE,JUNGLE
20,KR,4795177287,120,420,13,1605884100297,NONE,JUNGLE
21,KR,4794988610,60,420,13,1605881360552,NONE,JUNGLE
22,KR,4780273889,120,420,13,1605253402347,NONE,JUNGLE
23,KR,4780118203,429,420,13,1605250488351,DUO_CARRY,BOTTOM
24,KR,4777705485,55,430,13,1605139894286,SOLO,MID
25,KR,4777734506,84,430,13,1605138232188,SOLO,MID
26,KR,4777783413,875,430,13,1605135455847,DUO_SUPPORT,NONE
27,KR,4777752574,121,430,13,1605131993786,NONE,JUNGLE
28,KR,4777702098,113,430,13,1605129427895,NONE,JUNGLE
29,KR,4766283104,104,420,13,1604680532725,NONE,JUNGLE
