,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4834069169,80,430,13,1607417172843,DUO_SUPPORT,BOTTOM
1,KR,4834121360,7,440,13,1607414254534,SOLO,MID
2,KR,4833579659,81,440,13,1607403840225,DUO_CARRY,BOTTOM
3,KR,4833516278,236,440,13,1607401265567,DUO_CARRY,BOTTOM
4,KR,4832116153,236,440,13,1607328089461,DUO_CARRY,BOTTOM
5,KR,4832141731,81,440,13,1607326207675,DUO,NONE
6,KR,4822649377,61,420,13,1606981329012,SOLO,MID
7,KR,4816291682,7,420,13,1606729630490,SOLO,MID
8,KR,4803705532,8,420,13,1606246810094,SOLO,MID
9,KR,4802394596,142,420,13,1606203539740,DUO_SUPPORT,NONE
10,KR,4802368746,39,420,13,1606200487705,DUO,MID
11,KR,4794718039,112,420,13,1605878456010,DUO,NONE
12,KR,4785378304,84,420,13,1605435626311,DUO,MID
13,KR,4772213043,84,420,13,1604905304155,DUO_SUPPORT,NONE
14,KR,4772170596,103,420,13,1604903821327,DUO_SUPPORT,NONE
15,KR,4771837597,236,420,13,1604876956999,DUO_SUPPORT,MID
16,KR,4771836425,103,420,13,1604873742215,DUO,BOTTOM
17,KR,4771855461,103,420,13,1604871714715,SOLO,MID
18,KR,4771775749,103,420,13,1604868831147,DUO_CARRY,MID
19,KR,4771775015,236,420,13,1604867372407,DUO_SUPPORT,NONE
20,KR,4771822848,103,420,13,1604865400657,DUO_SUPPORT,NONE
21,KR,4771850929,236,420,13,1604863105762,DUO_SUPPORT,NONE
22,KR,4771768663,103,420,13,1604860770905,SOLO,MID
23,KR,4771678217,103,420,13,1604858717693,DUO,TOP
24,KR,4771686453,103,420,13,1604857256526,DUO_SUPPORT,NONE
25,KR,4771673364,103,420,13,1604855154069,DUO,BOTTOM
26,KR,4771658120,103,420,13,1604852937042,SOLO,MID
27,KR,4771573817,103,420,13,1604850370934,SOLO,MID
28,KR,4771566746,104,420,13,1604848412238,NONE,JUNGLE
29,KR,4771510179,4,420,13,1604845948279,DUO,BOTTOM
