,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4846744721,876,420,13,1607886852790,NONE,JUNGLE
1,KR,4846753223,104,420,13,1607884896102,DUO_SUPPORT,NONE
2,KR,4846731661,876,420,13,1607882996130,NONE,JUNGLE
3,KR,4846605393,203,420,13,1607878507444,NONE,JUNGLE
4,KR,4846641627,203,420,13,1607876926387,DUO_SUPPORT,NONE
5,KR,4846366152,104,420,13,1607873436729,NONE,JUNGLE
6,KR,4846342963,104,420,13,1607871974283,DUO_SUPPORT,NONE
7,KR,4846177048,2,420,13,1607869902366,DUO_SUPPORT,NONE
8,KR,4846191252,876,420,13,1607868117042,DUO_SUPPORT,NONE
9,KR,4846123782,203,420,13,1607866091584,NONE,JUNGLE
10,KR,4845974207,876,420,13,1607863438101,NONE,JUNGLE
11,KR,4845482460,245,420,13,1607848923350,DUO_SUPPORT,NONE
12,KR,4843063458,163,420,13,1607767017288,NONE,JUNGLE
13,KR,4842459595,120,420,13,1607759124862,NONE,JUNGLE
14,KR,4842493353,203,420,13,1607757321227,DUO_SUPPORT,NONE
15,KR,4842387692,876,420,13,1607755497070,DUO_SUPPORT,NONE
16,KR,4841752844,76,420,13,1607712534887,NONE,JUNGLE
17,KR,4841557916,203,420,13,1607709097422,NONE,JUNGLE
18,KR,4841475860,203,420,13,1607707427854,NONE,JUNGLE
19,KR,4841301026,164,420,13,1607698377459,DUO_SUPPORT,NONE
20,KR,4841059255,876,420,13,1607694951687,NONE,JUNGLE
21,KR,4840969743,203,420,13,1607692460535,NONE,JUNGLE
22,KR,4841012683,203,420,13,1607690800794,DUO_SUPPORT,NONE
23,KR,4840897785,203,420,13,1607689392074,DUO_SUPPORT,NONE
24,KR,4840749898,163,420,13,1607687089111,NONE,JUNGLE
25,KR,4840752453,163,420,13,1607684821265,NONE,JUNGLE
26,KR,4840384850,12,420,13,1607682165325,DUO_SUPPORT,TOP
27,KR,4840338813,203,420,13,1607680088514,NONE,JUNGLE
28,KR,4840234997,164,420,13,1607674415015,SOLO,TOP
29,KR,4840148688,876,420,13,1607672154516,NONE,JUNGLE
