,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4846755213,163,420,13,1607887842513,NONE,JUNGLE
1,KR,4844425569,76,420,13,1607806233967,NONE,JUNGLE
2,KR,4844443641,104,420,13,1607804810797,DUO_SUPPORT,NONE
3,KR,4844354165,104,420,13,1607802570900,DUO_SUPPORT,NONE
4,KR,4844440045,12,420,13,1607799987548,DUO_SUPPORT,NONE
5,KR,4844295084,104,420,13,1607795292337,NONE,JUNGLE
6,KR,4844310141,80,420,13,1607792850987,NONE,JUNGLE
7,KR,4844061679,79,420,13,1607789297957,NONE,JUNGLE
8,KR,4843855360,120,420,13,1607787266706,NONE,JUNGLE
9,KR,4843738005,54,420,13,1607785179618,SOLO,TOP
10,KR,4843648316,104,420,13,1607782770022,NONE,JUNGLE
11,KR,4843612012,76,420,13,1607780814129,NONE,JUNGLE
12,KR,4843486398,107,420,13,1607779288368,DUO_SUPPORT,NONE
13,KR,4843439386,104,420,13,1607777618384,DUO_SUPPORT,NONE
14,KR,4843371076,421,420,13,1607775207224,NONE,JUNGLE
15,KR,4843261166,64,420,13,1607772379054,NONE,JUNGLE
16,KR,4843066706,80,420,13,1607768017618,NONE,JUNGLE
17,KR,4842753678,421,420,13,1607763572101,NONE,JUNGLE
18,KR,4842588562,141,420,13,1607762046250,DUO_SUPPORT,NONE
19,KR,4842621743,163,420,13,1607759951326,NONE,JUNGLE
20,KR,4841825052,245,420,13,1607715571652,NONE,JUNGLE
21,KR,4841792888,64,420,13,1607712894753,NONE,JUNGLE
22,KR,4841740428,876,420,13,1607710502214,NONE,JUNGLE
23,KR,4841535913,18,420,13,1607707769948,DUO_CARRY,BOTTOM
24,KR,4841492722,266,420,13,1607706037290,NONE,JUNGLE
25,KR,4841423328,141,420,13,1607702492592,NONE,JUNGLE
26,KR,4841337386,21,420,13,1607700411708,NONE,JUNGLE
27,KR,4841208025,203,420,13,1607697505127,NONE,JUNGLE
28,KR,4841230086,163,420,13,1607695399952,NONE,JUNGLE
29,KR,4841143178,145,420,13,1607693785817,DUO_SUPPORT,NONE
