,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4836053057,202,420,13,1607498750128,DUO_CARRY,BOTTOM
1,KR,4835060699,21,420,13,1607439486764,DUO_CARRY,BOTTOM
2,KR,4834983829,517,420,13,1607437086688,NONE,JUNGLE
3,KR,4834506290,81,420,13,1607428715981,DUO_SUPPORT,NONE
4,KR,4834440367,523,420,13,1607426445891,SOLO,BOTTOM
5,KR,4834061513,236,420,13,1607413680106,DUO_CARRY,BOTTOM
6,KR,4834044000,67,420,13,1607411097773,DUO_CARRY,BOTTOM
7,KR,4833027247,64,420,13,1607351676073,DUO_SUPPORT,NONE
8,KR,4833023553,2,420,13,1607350358771,DUO_SUPPORT,NONE
9,KR,4832788986,236,420,13,1607348574988,DUO_CARRY,BOTTOM
10,KR,4832831787,81,420,13,1607346605628,DUO_CARRY,BOTTOM
11,KR,4832496341,21,420,13,1607344606552,DUO,NONE
12,KR,4832427049,51,420,13,1607341847372,DUO_CARRY,BOTTOM
13,KR,4832370340,429,420,13,1607339112945,DUO_CARRY,BOTTOM
14,KR,4832315658,21,420,13,1607337545211,DUO_SUPPORT,NONE
15,KR,4832262891,145,420,13,1607336015030,DUO_SUPPORT,NONE
16,KR,4832191262,202,420,13,1607330606356,DUO_CARRY,BOTTOM
17,KR,4832146398,21,420,13,1607328545382,DUO_CARRY,BOTTOM
18,KR,4832122222,236,420,13,1607326256549,DUO_CARRY,BOTTOM
19,KR,4831997291,236,420,13,1607324004794,SOLO,MID
20,KR,4827764703,13,420,13,1607167254650,DUO_SUPPORT,NONE
21,KR,4827255467,236,420,13,1607153023062,DUO_CARRY,BOTTOM
22,KR,4827109660,145,420,13,1607151160066,DUO,TOP
23,KR,4826352887,126,420,13,1607102754718,DUO_CARRY,MID
24,KR,4826327307,523,420,13,1607100522132,DUO_CARRY,BOTTOM
25,KR,4826292091,145,420,13,1607098280568,DUO_CARRY,BOTTOM
26,KR,4826197128,236,420,13,1607096629235,DUO_SUPPORT,NONE
27,KR,4825642399,67,420,13,1607086892817,DUO_CARRY,BOTTOM
28,KR,4825525541,429,420,13,1607084923570,NONE,JUNGLE
29,KR,4825449595,145,420,13,1607083287136,DUO_CARRY,BOTTOM
