,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4842613685,81,420,13,1607760526127,DUO_SUPPORT,NONE
1,KR,4842488758,81,420,13,1607758976439,DUO_SUPPORT,NONE
2,KR,4842449167,134,420,13,1607756383717,DUO,MID
3,KR,4842374066,134,420,13,1607754267185,DUO,NONE
4,KR,4842268073,134,420,13,1607752224256,DUO,MID
5,KR,4841150615,236,420,13,1607695271282,DUO_SUPPORT,NONE
6,KR,4840969743,202,420,13,1607692460535,DUO_CARRY,BOTTOM
7,KR,4840757405,81,420,13,1607686319058,DUO_SUPPORT,NONE
8,KR,4840790793,236,420,13,1607684349998,DUO_SUPPORT,NONE
9,KR,4840442700,51,420,13,1607681581967,DUO_CARRY,BOTTOM
10,KR,4840027754,517,1300,13,1607667345580,DUO_SUPPORT,NONE
11,KR,4839847375,7,1300,13,1607662190533,DUO_SUPPORT,NONE
12,KR,4839079305,81,420,13,1607614636683,DUO_CARRY,BOTTOM
13,KR,4839131232,21,420,13,1607611424824,DUO,MID
14,KR,4838957720,134,420,13,1607609731303,DUO_CARRY,MID
15,KR,4837947627,360,420,13,1607577633439,DUO_CARRY,BOTTOM
16,KR,4837863806,81,420,13,1607575113804,DUO_CARRY,BOTTOM
17,KR,4837773822,360,420,13,1607568461619,DUO_CARRY,BOTTOM
18,KR,4837447475,236,420,13,1607563731864,DUO_CARRY,BOTTOM
19,KR,4837384041,360,420,13,1607559646840,DUO_CARRY,BOTTOM
20,KR,4837370723,163,450,13,1607551855152,DUO_SUPPORT,MID
21,KR,4834327790,236,420,13,1607425873389,DUO_SUPPORT,NONE
22,KR,4834292298,235,420,13,1607423585632,DUO_CARRY,BOTTOM
23,KR,4834206269,523,420,13,1607421094063,DUO_CARRY,BOTTOM
24,KR,4834161770,81,420,13,1607418506971,DUO,BOTTOM
25,KR,4834066870,76,420,13,1607416170062,NONE,JUNGLE
26,KR,4834082496,81,420,13,1607414307874,DUO_CARRY,BOTTOM
27,KR,4834023300,523,420,13,1607410489563,DUO_CARRY,BOTTOM
28,KR,4833840151,145,420,13,1607403552683,DUO_CARRY,BOTTOM
29,KR,4833505979,81,420,13,1607401060193,DUO_CARRY,BOTTOM
