,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4833950960,421,420,13,1607408698522,NONE,JUNGLE
1,KR,4803378643,104,440,13,1606228425204,NONE,JUNGLE
2,KR,4799227344,2,450,13,1606046376348,DUO_SUPPORT,NONE
3,KR,4793579111,117,450,13,1605840919958,DUO_SUPPORT,TOP
4,KR,4789546447,412,440,13,1605621337664,DUO_SUPPORT,BOTTOM
5,KR,4789520724,203,440,13,1605619430824,NONE,JUNGLE
6,KR,4789483242,80,440,13,1605617425959,DUO_SUPPORT,BOTTOM
7,KR,4789385950,875,440,13,1605615171813,DUO_SUPPORT,BOTTOM
8,KR,4786086880,64,700,13,1605447035172,NONE,JUNGLE
9,KR,4785948166,120,700,13,1605444488326,NONE,JUNGLE
10,KR,4785875157,104,700,13,1605440921226,NONE,JUNGLE
11,KR,4783149548,104,700,13,1605355771475,NONE,JUNGLE
12,KR,4772858385,64,420,13,1604924942076,NONE,JUNGLE
13,KR,4772657287,104,420,13,1604921927769,NONE,JUNGLE
14,KR,4772515332,76,420,13,1604918349295,DUO_SUPPORT,NONE
15,KR,4772438308,64,420,13,1604916077900,NONE,JUNGLE
16,KR,4772400739,421,420,13,1604912826911,NONE,JUNGLE
17,KR,4770540348,876,420,13,1604828264902,NONE,JUNGLE
18,KR,4770372537,421,420,13,1604825707757,NONE,JUNGLE
19,KR,4770345980,76,420,13,1604824237476,DUO_SUPPORT,NONE
20,KR,4770188739,421,420,13,1604821952005,NONE,JUNGLE
21,KR,4770159558,517,420,13,1604819806489,SOLO,TOP
22,KR,4765501332,421,420,13,1604658985774,NONE,JUNGLE
23,KR,4765434897,517,420,13,1604656834153,DUO_SUPPORT,NONE
24,KR,4765259120,76,420,13,1604654536701,NONE,JUNGLE
25,KR,4763267539,64,420,13,1604568951968,DUO_SUPPORT,NONE
26,KR,4763223363,76,420,13,1604567095660,NONE,JUNGLE
27,KR,4762078113,64,420,13,1604500654369,NONE,JUNGLE
28,KR,4761904198,421,420,13,1604496593913,NONE,JUNGLE
29,KR,4761793027,421,420,13,1604493684429,NONE,JUNGLE
