,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4847231392,350,450,13,1607924838816,DUO,NONE
1,KR,4846745445,875,420,13,1607887943201,NONE,JUNGLE
2,KR,4846753909,112,420,13,1607885817013,SOLO,TOP
3,KR,4846742348,14,420,13,1607883752401,SOLO,MID
4,KR,4846605393,516,420,13,1607878507444,SOLO,TOP
5,KR,4846367662,54,420,13,1607874095775,SOLO,TOP
6,KR,4846412125,875,420,13,1607871979554,NONE,JUNGLE
7,KR,4846224541,875,420,13,1607869269229,SOLO,TOP
8,KR,4846097968,875,420,13,1607867188529,DUO_SUPPORT,NONE
9,KR,4846022261,875,420,13,1607863054328,SOLO,TOP
10,KR,4845915307,54,420,13,1607861183541,SOLO,TOP
11,KR,4845778096,112,420,13,1607859117946,DUO,BOTTOM
12,KR,4845716222,112,420,13,1607856055052,DUO,MID
13,KR,4845431382,112,420,13,1607848534951,SOLO,TOP
14,KR,4845005011,112,420,13,1607843949102,SOLO,MID
15,KR,4844939160,875,420,13,1607842341741,DUO_SUPPORT,NONE
16,KR,4844921396,875,420,13,1607839973274,NONE,JUNGLE
17,KR,4844323456,14,420,13,1607794511086,SOLO,TOP
18,KR,4844137619,875,420,13,1607791748800,SOLO,MID
19,KR,4843919012,875,420,13,1607788947966,DUO_SUPPORT,NONE
20,KR,4843863893,875,420,13,1607786882721,SOLO,TOP
21,KR,4843648316,62,420,13,1607782770022,SOLO,TOP
22,KR,4843612012,54,420,13,1607780814129,NONE,JUNGLE
23,KR,4843486398,875,420,13,1607779288368,DUO_SUPPORT,NONE
24,KR,4843439386,875,420,13,1607777618384,DUO_SUPPORT,NONE
25,KR,4843371076,62,420,13,1607775207224,SOLO,TOP
26,KR,4843261166,62,420,13,1607772379054,SOLO,TOP
27,KR,4842756495,875,420,13,1607764462580,DUO_SUPPORT,NONE
28,KR,4842621504,875,420,13,1607759938018,SOLO,TOP
29,KR,4842483324,14,420,13,1607757324895,SOLO,TOP
