,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4073330827,412,420,13,1578508660184,DUO_SUPPORT,BOTTOM
1,KR,4073258946,223,420,13,1578507052095,DUO_SUPPORT,NONE
2,KR,4073273562,223,420,13,1578503456675,DUO_SUPPORT,NONE
3,KR,4073280417,223,420,13,1578501831936,DUO_SUPPORT,NONE
4,KR,4073166524,412,420,13,1578499921351,DUO_SUPPORT,BOTTOM
5,KR,4071947997,89,420,13,1578461897414,DUO_SUPPORT,BOTTOM
6,KR,4071335049,412,420,13,1578422884071,DUO_SUPPORT,BOTTOM
7,KR,4071317054,412,420,13,1578418436636,DUO_SUPPORT,BOTTOM
8,KR,4071285170,201,420,13,1578416391346,DUO_SUPPORT,BOTTOM
9,KR,4070010405,412,420,13,1578375195246,DUO_SUPPORT,BOTTOM
10,KR,4069715370,412,420,13,1578337062930,DUO_SUPPORT,BOTTOM
11,KR,4069712453,412,420,13,1578334366077,DUO_SUPPORT,BOTTOM
12,KR,4068382754,412,420,13,1578288389278,DUO_SUPPORT,BOTTOM
13,KR,4068081596,25,420,13,1578250285412,DUO_SUPPORT,NONE
14,KR,4068080152,89,420,13,1578248898833,DUO_SUPPORT,NONE
15,KR,4067977945,412,420,13,1578246958071,DUO_SUPPORT,BOTTOM
16,KR,4068004716,412,420,13,1578245180673,DUO_SUPPORT,NONE
17,KR,4068001764,412,420,13,1578243416035,DUO_SUPPORT,BOTTOM
18,KR,4067520824,59,420,13,1578230339159,NONE,JUNGLE
19,KR,4067336188,25,420,13,1578228779228,DUO_SUPPORT,NONE
20,KR,4066385180,412,420,13,1578202470005,DUO_SUPPORT,BOTTOM
21,KR,4065821669,412,420,13,1578159111080,DUO_SUPPORT,BOTTOM
22,KR,4065744615,412,420,13,1578156340579,DUO_SUPPORT,BOTTOM
23,KR,4065672921,412,420,13,1578152880536,DUO_SUPPORT,BOTTOM
24,KR,4065604316,412,420,13,1578150673245,DUO_SUPPORT,BOTTOM
25,KR,4065513258,412,420,13,1578147878695,DUO_SUPPORT,BOTTOM
26,KR,4065379738,111,420,13,1578145011982,DUO_SUPPORT,BOTTOM
27,KR,4065381609,412,420,13,1578143181697,DUO_SUPPORT,BOTTOM
28,KR,4063880924,412,420,13,1578077470973,DUO_SUPPORT,NONE
29,KR,4063748035,53,420,13,1578075465535,DUO_SUPPORT,BOTTOM
