,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4834486602,141,420,13,1607428800484,NONE,JUNGLE
1,KR,4834460998,20,420,13,1607426808840,NONE,JUNGLE
2,KR,4834256097,64,420,13,1607424561403,NONE,JUNGLE
3,KR,4834169844,141,420,13,1607422235499,NONE,JUNGLE
4,KR,4834017806,876,420,13,1607412560365,NONE,JUNGLE
5,KR,4833946469,20,420,13,1607411242590,DUO_SUPPORT,NONE
6,KR,4834020611,203,420,13,1607409245667,NONE,JUNGLE
7,KR,4833877807,104,420,13,1607407833523,DUO_SUPPORT,NONE
8,KR,4833775246,104,420,13,1607405877293,NONE,JUNGLE
9,KR,4833811995,203,420,13,1607404564215,DUO_SUPPORT,NONE
10,KR,4833149443,203,420,13,1607357414128,NONE,JUNGLE
11,KR,4833105265,141,420,13,1607354770721,DUO_SUPPORT,NONE
12,KR,4833019739,421,420,13,1607352515149,NONE,JUNGLE
13,KR,4832706881,104,420,13,1607347624350,NONE,JUNGLE
14,KR,4832546496,555,420,13,1607344908177,DUO_SUPPORT,BOTTOM
15,KR,4832462593,203,420,13,1607343199157,DUO_SUPPORT,NONE
16,KR,4832392698,876,420,13,1607340186130,NONE,JUNGLE
17,KR,4832326790,104,420,13,1607338123075,NONE,JUNGLE
18,KR,4832340472,876,420,13,1607335535485,DUO_SUPPORT,NONE
19,KR,4832231447,203,420,13,1607331007315,DUO_SUPPORT,NONE
20,KR,4832078324,104,420,13,1607328887052,NONE,JUNGLE
21,KR,4832093154,876,420,13,1607326513136,NONE,JUNGLE
22,KR,4831997291,876,420,13,1607324004794,NONE,JUNGLE
23,KR,4829730511,104,420,13,1607239683523,NONE,JUNGLE
24,KR,4829613776,203,420,13,1607237600338,NONE,JUNGLE
25,KR,4823863673,104,420,13,1607016421607,NONE,JUNGLE
26,KR,4820638347,203,420,13,1606899848902,NONE,JUNGLE
27,KR,4820713883,104,420,13,1606897579428,NONE,JUNGLE
28,KR,4820259840,876,420,13,1606895341494,NONE,JUNGLE
29,KR,4820315044,421,420,13,1606893159320,NONE,JUNGLE
