,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4990129366,142,420,13,1612896710210,SOLO,MID
1,KR,4982066390,142,420,13,1612633779549,SOLO,MID
2,KR,4981885201,360,450,13,1612629300799,DUO,NONE
3,KR,4981860674,142,420,13,1612626181480,SOLO,MID
4,KR,4981682876,238,420,13,1612624183245,SOLO,MID
5,KR,4981611653,777,420,13,1612622122629,SOLO,MID
6,KR,4980824745,121,900,13,1612613232369,DUO,MID
7,KR,4980732281,84,900,13,1612610572014,DUO_SUPPORT,NONE
8,KR,4978943989,39,420,13,1612546255566,DUO,NONE
9,KR,4978837752,134,420,13,1612544070544,SOLO,MID
10,KR,4978860365,777,420,13,1612542000388,DUO,TOP
11,KR,4978761782,142,420,13,1612539865914,SOLO,MID
12,KR,4978571797,517,420,13,1612537533361,DUO_SUPPORT,NONE
13,KR,4975955074,236,420,13,1612454044702,DUO,MID
14,KR,4975828672,68,420,13,1612451763098,SOLO,MID
15,KR,4975740842,142,420,13,1612446974193,DUO,MID
16,KR,4975613561,777,420,13,1612445267053,DUO,TOP
17,KR,4973489874,777,420,13,1612368030810,SOLO,MID
18,KR,4973378806,142,420,13,1612364299200,SOLO,MID
19,KR,4973440602,245,420,13,1612362092889,SOLO,MID
20,KR,4966667222,142,420,13,1612123211460,DUO_SUPPORT,NONE
21,KR,4966636443,777,420,13,1612121459396,SOLO,MID
22,KR,4966673173,517,420,13,1612118729571,SOLO,MID
23,KR,4966611937,105,420,13,1612116674711,DUO,TOP
24,KR,4966538558,777,420,13,1612114498772,SOLO,MID
25,KR,4966486272,236,420,13,1612112679002,SOLO,MID
26,KR,4966398498,236,420,13,1612109320098,SOLO,MID
27,KR,4963914206,39,420,13,1612034513549,SOLO,MID
28,KR,4961549104,126,420,13,1611984479590,SOLO,TOP
29,KR,4959435025,236,420,13,1611915408803,SOLO,MID
