,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4997261892,145,420,13,1613123126583,DUO_CARRY,BOTTOM
1,KR,4995751297,81,420,13,1613061759973,DUO_SUPPORT,NONE
2,KR,4992237371,235,420,13,1612963512368,DUO_CARRY,BOTTOM
3,KR,4992092879,145,420,13,1612960494273,DUO_CARRY,BOTTOM
4,KR,4989078680,523,420,13,1612867941010,DUO_SUPPORT,NONE
5,KR,4988964646,81,420,13,1612866234742,DUO_CARRY,BOTTOM
6,KR,4988604785,67,420,13,1612859716806,SOLO,BOTTOM
7,KR,4988508861,235,420,13,1612857818530,DUO_CARRY,BOTTOM
8,KR,4988514747,235,420,13,1612856522093,DUO_SUPPORT,NONE
9,KR,4988408913,523,420,13,1612854552843,DUO_CARRY,BOTTOM
10,KR,4988372687,15,420,13,1612852532100,DUO_CARRY,BOTTOM
11,KR,4980121043,777,420,13,1612595513103,SOLO,MID
12,KR,4979972600,145,420,13,1612593259383,DUO_CARRY,BOTTOM
13,KR,4979322225,498,420,13,1612580287995,DUO_SUPPORT,NONE
14,KR,4978745568,145,420,13,1612540739121,DUO_CARRY,BOTTOM
15,KR,4978646591,498,420,13,1612538680101,DUO_CARRY,BOTTOM
16,KR,4977697486,498,420,13,1612525601526,DUO_CARRY,BOTTOM
17,KR,4976782142,145,420,13,1612498864713,DUO_SUPPORT,NONE
18,KR,4976695831,360,420,13,1612496321795,DUO_CARRY,BOTTOM
19,KR,4975971960,235,420,13,1612456573706,DUO_SUPPORT,NONE
20,KR,4975907537,235,420,13,1612454823562,DUO_CARRY,BOTTOM
21,KR,4975871098,145,420,13,1612452448691,DUO_CARRY,BOTTOM
22,KR,4975309766,110,420,13,1612439428256,DUO_CARRY,BOTTOM
23,KR,4975322894,235,420,13,1612437470648,DUO_SUPPORT,BOTTOM
24,KR,4975106687,145,420,13,1612435612426,DUO_CARRY,BOTTOM
25,KR,4974685445,110,420,13,1612427187534,DUO_CARRY,BOTTOM
26,KR,4974691224,145,420,13,1612425586154,DUO_SUPPORT,NONE
27,KR,4974577892,360,420,13,1612424281630,DUO_SUPPORT,NONE
28,KR,4974661460,18,420,13,1612421984983,DUO_CARRY,BOTTOM
29,KR,4974496996,360,420,13,1612420232018,DUO_CARRY,BOTTOM
