,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4073580203,80,420,13,1578543705739,DUO,MID
1,KR,4073227409,50,420,13,1578505656508,SOLO,TOP
2,KR,4072994055,58,420,13,1578492575462,SOLO,TOP
3,KR,4072014659,68,420,13,1578464658716,DUO_SUPPORT,NONE
4,KR,4071887301,82,420,13,1578461551137,DUO,MID
5,KR,4071390909,80,420,13,1578421353459,DUO_SUPPORT,NONE
6,KR,4071269197,41,420,13,1578418316269,SOLO,TOP
7,KR,4071275302,79,420,13,1578416285451,NONE,JUNGLE
8,KR,4071290625,58,420,13,1578414207214,SOLO,TOP
9,KR,4071226267,82,420,13,1578412504814,DUO_SUPPORT,NONE
10,KR,4071129631,68,420,13,1578409795224,SOLO,MID
11,KR,4071102131,80,420,13,1578407346176,SOLO,TOP
12,KR,4070380908,82,420,13,1578386878212,DUO_SUPPORT,NONE
13,KR,4070252241,68,420,13,1578383653283,SOLO,MID
14,KR,4070147397,25,420,13,1578382332772,DUO_SUPPORT,NONE
15,KR,4070103702,80,420,13,1578380570561,DUO,TOP
16,KR,4070035166,236,420,13,1578377569561,SOLO,TOP
17,KR,4069938375,111,420,13,1578374265261,DUO_SUPPORT,BOTTOM
18,KR,4069702546,164,420,13,1578333991189,DUO_CARRY,TOP
19,KR,4069667490,39,420,13,1578332650506,DUO,NONE
20,KR,4069606763,114,420,13,1578329924292,SOLO,TOP
21,KR,4069623229,82,420,13,1578328142654,SOLO,TOP
22,KR,4069561892,39,420,13,1578323848588,SOLO,TOP
23,KR,4069446215,202,420,13,1578321560507,DUO,NONE
24,KR,4069415832,82,420,13,1578319621497,SOLO,TOP
25,KR,4068400089,80,420,13,1578288243838,DUO,MID
26,KR,4068004716,82,420,13,1578245180673,DUO_SUPPORT,NONE
27,KR,4068001764,266,420,13,1578243416035,SOLO,TOP
28,KR,4063218306,516,420,13,1578061686096,DUO_SUPPORT,NONE
29,KR,4063138478,82,420,13,1578059263510,SOLO,TOP
