,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848531868,57,420,13,1607960968730,DUO_SUPPORT,NONE
1,KR,4848448037,57,420,13,1607959569633,DUO_SUPPORT,NONE
2,KR,4848323348,21,420,13,1607954144945,DUO_CARRY,BOTTOM
3,KR,4846753909,80,420,13,1607885817013,DUO_SUPPORT,BOTTOM
4,KR,4846731105,202,420,13,1607882472317,DUO_CARRY,BOTTOM
5,KR,4846608160,57,420,13,1607880444965,DUO_SUPPORT,NONE
6,KR,4845906822,57,420,13,1607861568882,NONE,JUNGLE
7,KR,4845931176,80,420,13,1607860125574,DUO_SUPPORT,NONE
8,KR,4845822857,12,420,13,1607857878872,DUO_SUPPORT,BOTTOM
9,KR,4845715061,202,420,13,1607855753410,DUO_CARRY,BOTTOM
10,KR,4844372105,57,420,13,1607800709993,DUO_SUPPORT,BOTTOM
11,KR,4844279438,57,420,13,1607798196968,DUO_SUPPORT,BOTTOM
12,KR,4844324284,57,420,13,1607794951274,DUO_SUPPORT,NONE
13,KR,4843196017,79,420,13,1607770967070,DUO_SUPPORT,NONE
14,KR,4843077370,21,420,13,1607768275459,DUO_CARRY,BOTTOM
15,KR,4841599987,202,420,13,1607711301552,DUO_SUPPORT,NONE
16,KR,4841548169,875,420,13,1607709252394,SOLO,BOTTOM
17,KR,4841474398,57,420,13,1607706629266,DUO_SUPPORT,BOTTOM
18,KR,4841367190,57,420,13,1607703764401,DUO_SUPPORT,BOTTOM
19,KR,4841319013,80,420,13,1607700996622,DUO_SUPPORT,BOTTOM
20,KR,4839210209,80,420,13,1607615246350,SOLO,BOTTOM
21,KR,4838992427,111,420,13,1607608140829,DUO_SUPPORT,NONE
22,KR,4838759625,57,420,13,1607604152258,DUO_SUPPORT,BOTTOM
23,KR,4838417708,875,420,13,1607600224641,DUO_SUPPORT,BOTTOM
24,KR,4838345216,80,420,13,1607595722215,DUO_SUPPORT,BOTTOM
25,KR,4838292571,12,420,13,1607594441892,DUO_SUPPORT,NONE
26,KR,4835080344,875,420,13,1607439573544,DUO_SUPPORT,BOTTOM
27,KR,4831333556,80,420,13,1607276804319,DUO_SUPPORT,BOTTOM
28,KR,4831262044,80,420,13,1607274577416,DUO_SUPPORT,BOTTOM
29,KR,4831198298,80,420,13,1607272246284,DUO_SUPPORT,BOTTOM
