,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4848609361,163,420,13,1607975407260,DUO_SUPPORT,NONE
1,KR,4848656198,163,420,13,1607971521932,NONE,JUNGLE
2,KR,4848653391,120,420,13,1607968390765,NONE,JUNGLE
3,KR,4848437798,163,420,13,1607959299406,NONE,JUNGLE
4,KR,4846648446,163,420,13,1607881500819,DUO_SUPPORT,NONE
5,KR,4846640517,876,420,13,1607876304295,DUO_SUPPORT,NONE
6,KR,4846448557,875,420,13,1607874879287,DUO_SUPPORT,NONE
7,KR,4846348123,876,420,13,1607874200265,DUO,NONE
8,KR,4846443940,104,420,13,1607872795804,DUO_SUPPORT,NONE
9,KR,4846440131,68,420,13,1607871262667,DUO_SUPPORT,NONE
10,KR,4843605753,141,420,13,1607781744596,DUO_SUPPORT,NONE
11,KR,4843386552,76,420,13,1607776765918,NONE,JUNGLE
12,KR,4841740428,104,420,13,1607710502214,NONE,JUNGLE
13,KR,4841496673,120,420,13,1607708046744,NONE,JUNGLE
14,KR,4841437731,163,420,13,1607704144101,NONE,JUNGLE
15,KR,4841143178,104,420,13,1607693785817,DUO_SUPPORT,NONE
16,KR,4840985662,12,450,13,1607691388559,DUO_SUPPORT,NONE
17,KR,4839209253,163,420,13,1607620809308,NONE,JUNGLE
18,KR,4839197293,163,420,13,1607619129621,NONE,JUNGLE
19,KR,4838954785,163,420,13,1607608748264,NONE,JUNGLE
20,KR,4837336172,76,450,13,1607541378064,DUO_SUPPORT,NONE
21,KR,4837345233,105,450,13,1607539920553,DUO_SUPPORT,NONE
22,KR,4837344231,266,450,13,1607538555485,DUO_SUPPORT,NONE
23,KR,4835272164,131,450,13,1607456580143,DUO_SUPPORT,MID
24,KR,4835215107,164,450,13,1607448743370,DUO_SUPPORT,MID
25,KR,4832433863,53,450,13,1607340629143,DUO_SUPPORT,MID
26,KR,4831112574,56,450,13,1607265158774,DUO_SUPPORT,NONE
27,KR,4819348086,876,420,13,1606847305098,NONE,JUNGLE
28,KR,4819335336,421,420,13,1606844434782,NONE,JUNGLE
29,KR,4819411590,141,420,13,1606843166107,DUO_SUPPORT,NONE
