,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4992806443,64,420,13,1612976839260,NONE,JUNGLE
1,KR,4992688315,15,420,13,1612974298621,DUO,NONE
2,KR,4966404507,498,420,13,1612107900332,DUO,MID
3,KR,4945545059,523,420,13,1611425007464,DUO_CARRY,BOTTOM
4,KR,4938449580,145,420,13,1611228419179,DUO,NONE
5,KR,4927110442,523,420,13,1610820134993,DUO,MID
6,KR,4927036437,523,420,13,1610818515099,DUO,NONE
7,KR,4924016243,145,420,13,1610733811865,DUO_CARRY,BOTTOM
8,KR,4921448275,202,420,13,1610643642818,DUO_CARRY,BOTTOM
9,KR,4921349026,360,420,13,1610639675167,DUO_CARRY,BOTTOM
10,KR,4921242803,67,420,13,1610634520625,DUO_CARRY,BOTTOM
11,KR,4921112933,360,420,13,1610631814261,DUO_CARRY,BOTTOM
12,KR,4920944095,18,420,13,1610629663316,DUO_CARRY,BOTTOM
13,KR,4919922724,523,420,13,1610602958498,DUO_CARRY,BOTTOM
14,KR,4919145426,21,420,13,1610560424898,DUO,NONE
15,KR,4918686105,76,420,13,1610545446212,NONE,JUNGLE
16,KR,4918434170,202,420,13,1610542246475,DUO_CARRY,BOTTOM
