,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4833809781,412,420,13,1607408390881,DUO_SUPPORT,NONE
1,KR,4832150230,39,420,13,1607329710863,SOLO,TOP
2,KR,4826785803,64,420,13,1607145528562,DUO,NONE
3,KR,4826442568,7,420,13,1607103279663,SOLO,MID
4,KR,4826307801,236,420,13,1607100658436,SOLO,MID
5,KR,4826321805,3,420,13,1607098318714,DUO,TOP
6,KR,4826225305,103,420,13,1607096017260,SOLO,MID
7,KR,4825869216,145,420,13,1607093945166,DUO,MID
8,KR,4825567508,120,420,13,1607087974646,NONE,JUNGLE
9,KR,4825632260,3,420,13,1607086758548,DUO_SUPPORT,NONE
10,KR,4825307316,245,450,13,1607078780984,DUO_SUPPORT,NONE
11,KR,4825273574,117,420,13,1607077288067,DUO_SUPPORT,NONE
12,KR,4824939624,80,420,13,1607075539342,DUO_SUPPORT,BOTTOM
13,KR,4824873567,117,420,13,1607072163856,DUO_SUPPORT,NONE
14,KR,4824838894,84,420,13,1607070453531,SOLO,MID
15,KR,4823870344,131,420,13,1607014343508,DUO,TOP
16,KR,4823754646,112,420,13,1607011215024,SOLO,MID
17,KR,4823689059,84,420,13,1607009052927,SOLO,MID
18,KR,4823710427,157,420,13,1607006075751,SOLO,MID
19,KR,4823611975,164,420,13,1607003600497,DUO,TOP
20,KR,4823487338,134,420,13,1607002264313,DUO,NONE
21,KR,4823430355,105,420,13,1607000367224,DUO_SUPPORT,NONE
22,KR,4823171301,78,420,13,1606998060293,DUO_CARRY,MID
23,KR,4823024484,236,420,13,1606996262256,DUO_SUPPORT,NONE
24,KR,4822939008,518,420,13,1606994536067,DUO,NONE
25,KR,4822942545,875,420,13,1606992386558,SOLO,MID
26,KR,4822776072,55,420,13,1606989569651,DUO_SUPPORT,NONE
27,KR,4822782615,58,420,13,1606987912384,DUO_SUPPORT,NONE
28,KR,4822667060,238,420,13,1606985121318,SOLO,MID
29,KR,4822743236,4,420,13,1606983293938,SOLO,MID
