,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4849517065,203,420,13,1608019812199,NONE,JUNGLE
1,KR,4847474456,34,440,13,1607934573361,SOLO,MID
2,KR,4846117095,421,420,13,1607866937476,NONE,JUNGLE
3,KR,4846061063,2,420,13,1607865132748,NONE,JUNGLE
4,KR,4845972645,203,420,13,1607862998568,NONE,JUNGLE
5,KR,4845864120,421,420,13,1607860670396,NONE,JUNGLE
6,KR,4845756489,203,420,13,1607858598398,NONE,JUNGLE
7,KR,4845692639,203,420,13,1607854940140,DUO_SUPPORT,NONE
8,KR,4845199791,203,420,13,1607847980267,NONE,JUNGLE
9,KR,4844988934,2,420,13,1607844939080,NONE,JUNGLE
10,KR,4844946484,203,420,13,1607841959745,NONE,JUNGLE
11,KR,4844850739,2,420,13,1607839616847,NONE,JUNGLE
12,KR,4844728072,203,420,13,1607835591310,NONE,JUNGLE
13,KR,4843084113,11,1300,13,1607767105861,DUO_SUPPORT,NONE
14,KR,4843060288,121,1300,13,1607765824011,DUO_SUPPORT,NONE
15,KR,4842895610,67,1300,13,1607764715018,DUO_SUPPORT,NONE
16,KR,4842773891,67,1300,13,1607763581505,DUO_SUPPORT,NONE
17,KR,4842566227,421,420,13,1607761218255,SOLO,TOP
18,KR,4842468926,245,420,13,1607758918355,NONE,JUNGLE
19,KR,4840702492,120,1300,13,1607684444220,DUO_SUPPORT,NONE
20,KR,4839953396,2,420,13,1607665098493,DUO_SUPPORT,NONE
21,KR,4839827761,2,420,13,1607662454504,NONE,JUNGLE
22,KR,4838736363,421,420,13,1607602988095,NONE,JUNGLE
23,KR,4838367514,421,420,13,1607600039031,NONE,JUNGLE
24,KR,4838339359,421,420,13,1607597415605,DUO_SUPPORT,NONE
25,KR,4838306371,25,420,13,1607596117985,DUO_SUPPORT,NONE
26,KR,4838184790,2,420,13,1607590749716,NONE,JUNGLE
27,KR,4838149783,2,420,13,1607588585566,NONE,JUNGLE
28,KR,4838144529,2,420,13,1607586001026,NONE,JUNGLE
29,KR,4838060125,421,420,13,1607583583319,NONE,JUNGLE
