,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4466153491,350,430,13,1592923966744,DUO_SUPPORT,NONE
1,KR,4465934467,157,430,13,1592920934302,DUO_CARRY,MID
2,KR,4452357169,164,430,13,1592319599550,DUO,NONE
3,KR,4452343571,105,430,13,1592317930312,SOLO,MID
4,KR,4452246782,81,430,13,1592315664064,DUO_CARRY,BOTTOM
5,KR,4029277578,13,420,13,1576469980219,DUO,MID
6,KR,4026867442,13,420,13,1576349275871,SOLO,MID
7,KR,4026816546,246,420,13,1576347696867,DUO_SUPPORT,NONE
8,KR,4026290936,39,420,13,1576326917743,DUO_SUPPORT,NONE
9,KR,4025859724,7,420,13,1576324091265,SOLO,MID
10,KR,4025718315,84,420,13,1576321174274,SOLO,MID
11,KR,4025536281,84,420,13,1576314900227,SOLO,MID
12,KR,4025477894,246,420,13,1576312770907,SOLO,MID
13,KR,4025471826,84,420,13,1576311184229,DUO_SUPPORT,NONE
14,KR,4025177379,84,420,13,1576302111545,DUO_SUPPORT,NONE
15,KR,4023054277,126,420,13,1576220320889,SOLO,MID
16,KR,4019986847,80,420,13,1576060887488,DUO_SUPPORT,NONE
17,KR,4016273543,81,420,13,1575830903470,SOLO,BOTTOM
18,KR,4016281811,39,420,13,1575829144553,DUO_SUPPORT,NONE
19,KR,4016189871,58,420,13,1575826820597,SOLO,MID
20,KR,4016196473,246,420,13,1575824569693,SOLO,MID
21,KR,4014108787,13,420,13,1575737535148,DUO,MID
22,KR,4013931378,61,420,13,1575728623691,SOLO,MID
23,KR,4013824241,39,420,13,1575726682649,DUO,MID
24,KR,4013747182,61,420,13,1575724941664,DUO,NONE
25,KR,4013694737,246,420,13,1575721779207,SOLO,MID
26,KR,4012341889,412,420,13,1575653007389,DUO_SUPPORT,BOTTOM
27,KR,4012277406,51,420,13,1575651105137,DUO_CARRY,BOTTOM
28,KR,4012301662,80,420,13,1575649071444,SOLO,MID
29,KR,4012215296,61,420,13,1575646995585,SOLO,MID
