,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4991174562,67,420,13,1612943814523,DUO_SUPPORT,NONE
1,KR,4991087564,150,420,13,1612941865893,DUO,MID
2,KR,4991122083,68,420,13,1612940290379,DUO_SUPPORT,NONE
3,KR,4990987801,68,420,13,1612938761626,DUO_SUPPORT,NONE
4,KR,4990888869,58,420,13,1612935782158,SOLO,TOP
5,KR,4990873622,68,420,13,1612933962628,DUO_SUPPORT,NONE
6,KR,4990778477,68,420,13,1612931943970,SOLO,TOP
7,KR,4989612756,41,420,13,1612877902018,DUO,TOP
8,KR,4989535509,68,420,13,1612876440124,DUO_SUPPORT,NONE
9,KR,4989307997,68,420,13,1612872601821,SOLO,TOP
10,KR,4983120745,164,420,13,1612678515556,SOLO,TOP
11,KR,4983033025,164,420,13,1612676938938,SOLO,TOP
12,KR,4982807334,126,420,13,1612675265688,SOLO,TOP
13,KR,4982538935,68,420,13,1612672606101,SOLO,TOP
14,KR,4971694294,429,420,13,1612313037878,DUO_SUPPORT,NONE
15,KR,4971622127,150,420,13,1612310231100,SOLO,TOP
16,KR,4960938738,150,420,13,1611952315603,SOLO,TOP
17,KR,4960928076,234,420,13,1611951138683,DUO_SUPPORT,NONE
18,KR,4960966200,58,420,13,1611949293614,SOLO,TOP
19,KR,4960963609,85,420,13,1611946797061,DUO,MID
20,KR,4960818735,875,420,13,1611943775123,SOLO,TOP
21,KR,4960745916,236,420,13,1611941983794,SOLO,TOP
22,KR,4960750708,234,420,13,1611939851501,DUO,TOP
23,KR,4960634364,234,420,13,1611937672323,SOLO,TOP
24,KR,4958210547,164,420,13,1611855380365,SOLO,TOP
25,KR,4958096722,164,420,13,1611853132076,SOLO,TOP
26,KR,4958172471,164,420,13,1611851533434,DUO_SUPPORT,MID
27,KR,4958018518,58,420,13,1611849759905,SOLO,TOP
28,KR,4957937320,58,420,13,1611846200467,SOLO,TOP
29,KR,4957809824,164,420,13,1611844164751,DUO,TOP
