,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4829614947,51,850,13,1607237804948,DUO_SUPPORT,NONE
1,KR,4826364655,82,450,13,1607103793017,NONE,JUNGLE
2,KR,4826392106,777,450,13,1607102486283,DUO,NONE
3,KR,4826269652,266,450,13,1607101119361,DUO_SUPPORT,NONE
4,KR,4819099324,8,450,13,1606834805687,DUO,NONE
5,KR,4818291290,122,420,13,1606814154838,DUO,NONE
6,KR,4815820145,246,450,13,1606715193356,DUO_SUPPORT,NONE
7,KR,4815740079,75,450,13,1606714086338,DUO_SUPPORT,NONE
8,KR,4813884354,59,450,13,1606641171364,DUO_SUPPORT,NONE
9,KR,4812480632,29,450,13,1606574351121,DUO_SUPPORT,NONE
10,KR,4812316815,145,450,13,1606573060555,DUO_SUPPORT,NONE
11,KR,4805462088,67,450,13,1606316839645,DUO,NONE
12,KR,4804767937,58,420,13,1606299545646,DUO_SUPPORT,NONE
13,KR,4799104834,517,450,13,1606042658158,DUO_SUPPORT,NONE
14,KR,4798484633,61,450,13,1606027135884,DUO_SUPPORT,NONE
15,KR,4798441276,497,450,13,1606025694314,DUO_SUPPORT,NONE
16,KR,4781720121,1,450,13,1605284521424,DUO_SUPPORT,MID
17,KR,4776933468,517,850,13,1605097442159,DUO_SUPPORT,NONE
18,KR,4774714235,266,450,13,1605011496646,DUO_SUPPORT,NONE
19,KR,4774553480,85,420,13,1605004537256,DUO,TOP
20,KR,4774319235,24,420,13,1605002248253,SOLO,TOP
21,KR,4771713406,23,420,13,1604855549562,DUO_SUPPORT,NONE
22,KR,4771595384,75,420,13,1604851192099,SOLO,TOP
23,KR,4771600740,106,420,13,1604849427545,SOLO,TOP
24,KR,4771481750,24,420,13,1604846245867,SOLO,TOP
25,KR,4769132334,22,900,13,1604771257529,DUO_SUPPORT,NONE
26,KR,4769080385,33,900,13,1604770072618,DUO_SUPPORT,NONE
27,KR,4769017211,51,900,13,1604768807743,DUO_SUPPORT,NONE
28,KR,4768439671,58,420,13,1604753826400,SOLO,TOP
29,KR,4768450788,875,420,13,1604751866747,SOLO,TOP
