,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4834211279,121,450,13,1607418755271,DUO_SUPPORT,NONE
1,KR,4834098510,20,450,13,1607417174558,DUO,MID
2,KR,4834135192,517,420,13,1607416027505,DUO_SUPPORT,NONE
3,KR,4834101390,13,420,13,1607414016734,SOLO,MID
4,KR,4834037056,245,420,13,1607412267366,SOLO,MID
5,KR,4834020611,61,420,13,1607409245667,SOLO,MID
6,KR,4833886568,517,420,13,1607407519048,DUO_SUPPORT,NONE
7,KR,4833863215,245,420,13,1607405474407,SOLO,MID
8,KR,4833539667,84,420,13,1607403531020,SOLO,MID
9,KR,4832764126,112,420,13,1607347028397,DUO,TOP
10,KR,4832547729,84,420,13,1607345264293,SOLO,MID
11,KR,4832511654,134,420,13,1607343212374,SOLO,MID
12,KR,4832368243,61,420,13,1607341846712,DUO_SUPPORT,NONE
13,KR,4832430641,38,420,13,1607339658043,DUO_SUPPORT,NONE
14,KR,4832262891,112,420,13,1607336015030,DUO_SUPPORT,NONE
15,KR,4832226739,84,420,13,1607333598590,SOLO,MID
16,KR,4832231653,3,420,13,1607331112145,SOLO,MID
17,KR,4831625973,3,420,13,1607317462837,DUO,TOP
18,KR,4825500560,13,420,13,1607083456568,SOLO,TOP
19,KR,4825446257,42,450,13,1607082078499,DUO_SUPPORT,NONE
20,KR,4825440445,13,420,13,1607080238479,SOLO,MID
21,KR,4824950732,3,420,13,1607071250904,DUO,BOTTOM
22,KR,4824624029,112,420,13,1607058928542,SOLO,MID
23,KR,4824549842,517,420,13,1607056910031,SOLO,MID
24,KR,4823696736,245,420,13,1607008262243,DUO,TOP
25,KR,4823741712,236,420,13,1607006680125,DUO,MID
26,KR,4823594033,517,420,13,1607004148796,SOLO,MID
27,KR,4823482266,61,420,13,1607000970084,DUO,MID
28,KR,4823177093,3,420,13,1606999579177,DUO_SUPPORT,NONE
29,KR,4823192888,84,420,13,1606998558470,DUO,NONE
