,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4834037576,203,420,13,1607412502524,NONE,JUNGLE
1,KR,4834011221,76,420,13,1607409498807,DUO_SUPPORT,TOP
2,KR,4825699942,2,420,13,1607091226812,NONE,JUNGLE
3,KR,4825549770,104,420,13,1607086152538,NONE,JUNGLE
4,KR,4825395946,76,420,13,1607081995386,NONE,JUNGLE
5,KR,4824944720,104,420,13,1607073214456,NONE,JUNGLE
6,KR,4824808519,245,420,13,1607070164052,DUO,NONE
7,KR,4818449523,104,420,13,1606822555733,DUO_SUPPORT,NONE
8,KR,4818169237,121,420,13,1606809200071,DUO_SUPPORT,NONE
9,KR,4816838895,421,420,13,1606746673853,NONE,JUNGLE
10,KR,4816706202,2,420,13,1606742520245,NONE,JUNGLE
11,KR,4816519752,104,420,13,1606740270708,NONE,JUNGLE
12,KR,4816531465,245,420,13,1606738027903,SOLO,MID
13,KR,4816416473,245,420,13,1606736122182,DUO_SUPPORT,NONE
14,KR,4815899688,104,420,13,1606723855304,NONE,JUNGLE
15,KR,4816004430,104,420,13,1606722070145,NONE,JUNGLE
16,KR,4815809849,104,420,13,1606719873742,DUO_SUPPORT,NONE
17,KR,4815824834,120,420,13,1606717647087,NONE,JUNGLE
18,KR,4811104629,120,420,13,1606550630225,DUO_SUPPORT,TOP
19,KR,4811030608,421,420,13,1606548598055,NONE,JUNGLE
20,KR,4809568243,876,420,13,1606482528757,NONE,JUNGLE
21,KR,4809533683,104,420,13,1606481208368,DUO_SUPPORT,NONE
22,KR,4809274921,104,420,13,1606478590138,NONE,JUNGLE
23,KR,4808800763,245,420,13,1606464172092,SOLO,MID
24,KR,4808764987,62,420,13,1606461947058,SOLO,TOP
25,KR,4807724508,120,420,13,1606403054642,DUO_SUPPORT,NONE
26,KR,4807557391,203,420,13,1606400519590,DUO_SUPPORT,NONE
27,KR,4807543072,517,420,13,1606398993535,DUO_SUPPORT,NONE
28,KR,4807210895,104,420,13,1606395410364,NONE,JUNGLE
29,KR,4806748473,120,420,13,1606379452898,NONE,JUNGLE
