,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4833816387,245,420,13,1607406962205,SOLO,MID
1,KR,4833840151,104,420,13,1607403552683,NONE,JUNGLE
2,KR,4833575352,61,420,13,1607401402150,DUO,TOP
3,KR,4833510199,203,420,13,1607397184445,NONE,JUNGLE
4,KR,4833214276,245,420,13,1607360172108,SOLO,MID
5,KR,4832986467,39,420,13,1607351120747,DUO_SUPPORT,NONE
6,KR,4832912876,517,420,13,1607349510175,DUO_SUPPORT,NONE
7,KR,4832704858,84,420,13,1607347019849,DUO_CARRY,MID
8,KR,4832548328,112,420,13,1607345475925,DUO_SUPPORT,NONE
9,KR,4832461869,245,420,13,1607343023511,SOLO,MID
10,KR,4832425214,517,420,13,1607341198942,DUO_SUPPORT,NONE
11,KR,4832352274,105,420,13,1607339783609,DUO_SUPPORT,NONE
12,KR,4832327041,164,420,13,1607338254032,DUO_SUPPORT,NONE
13,KR,4832333223,80,420,13,1607336708236,DUO_SUPPORT,NONE
14,KR,4832129419,39,420,13,1607329868603,SOLO,TOP
15,KR,4832126147,236,420,13,1607328161598,DUO_SUPPORT,NONE
16,KR,4827436352,84,420,13,1607157308166,DUO_SUPPORT,NONE
17,KR,4827360454,245,420,13,1607154892331,SOLO,MID
18,KR,4827335712,236,420,13,1607153469942,DUO_SUPPORT,NONE
19,KR,4827301540,84,420,13,1607151881689,SOLO,MID
20,KR,4827113175,112,420,13,1607148754862,DUO,MID
21,KR,4826837154,61,420,13,1607146384726,DUO,MID
22,KR,4826707229,245,420,13,1607141753784,DUO_CARRY,TOP
23,KR,4826407284,245,420,13,1607106133352,SOLO,MID
24,KR,4826197128,517,420,13,1607096629235,DUO_SUPPORT,NONE
25,KR,4826142118,245,420,13,1607094816429,SOLO,MID
26,KR,4825835981,245,420,13,1607092880576,SOLO,MID
27,KR,4825614996,112,420,13,1607087476448,SOLO,MID
28,KR,4824789863,84,420,13,1607070705226,DUO_SUPPORT,NONE
29,KR,4824805519,84,420,13,1607068741128,SOLO,TOP
