,platformId,gameId,champion,queue,season,timestamp,role,lane
0,KR,4847202188,142,1300,13,1607925085244,DUO_SUPPORT,NONE
1,KR,4846571014,526,420,13,1607875824241,DUO_SUPPORT,BOTTOM
2,KR,4846345568,89,420,13,1607873000956,DUO_SUPPORT,BOTTOM
3,KR,4846167202,163,1300,13,1607869778145,DUO_SUPPORT,NONE
4,KR,4846191376,412,420,13,1607868097752,DUO_SUPPORT,BOTTOM
5,KR,4846115569,12,420,13,1607866551106,DUO_SUPPORT,NONE
6,KR,4845986966,111,420,13,1607864149169,DUO_SUPPORT,BOTTOM
7,KR,4845867247,412,420,13,1607861500103,DUO_SUPPORT,BOTTOM
8,KR,4845797881,22,420,13,1607859116510,DUO_SUPPORT,BOTTOM
9,KR,4845760383,350,420,13,1607857053917,DUO_SUPPORT,BOTTOM
10,KR,4845692639,875,420,13,1607854940140,DUO_SUPPORT,NONE
11,KR,4845438807,12,420,13,1607850730921,DUO_SUPPORT,NONE
12,KR,4845267620,89,420,13,1607847535052,DUO_SUPPORT,BOTTOM
13,KR,4845181279,875,420,13,1607845536558,DUO_SUPPORT,NONE
14,KR,4845045100,12,420,13,1607843975155,DUO_SUPPORT,BOTTOM
15,KR,4844905609,80,420,13,1607841262905,DUO_SUPPORT,MID
16,KR,4844817482,57,420,13,1607838840443,DUO_SUPPORT,BOTTOM
17,KR,4844371476,203,1300,13,1607799916669,DUO,NONE
18,KR,4844141108,12,420,13,1607789245801,DUO_SUPPORT,BOTTOM
19,KR,4843825938,43,420,13,1607787368846,DUO_SUPPORT,BOTTOM
20,KR,4843659672,57,420,13,1607785389887,DUO_SUPPORT,NONE
21,KR,4843557942,526,420,13,1607782111548,SOLO,BOTTOM
22,KR,4843457393,89,420,13,1607779452403,DUO_SUPPORT,BOTTOM
23,KR,4843429105,526,420,13,1607777420871,DUO_SUPPORT,BOTTOM
24,KR,4843372215,526,420,13,1607775507757,DUO_SUPPORT,NONE
25,KR,4842752883,412,420,13,1607763253014,DUO_SUPPORT,BOTTOM
26,KR,4842584255,40,420,13,1607760668447,DUO_SUPPORT,BOTTOM
27,KR,4842519023,12,420,13,1607759065620,DUO_SUPPORT,NONE
28,KR,4842522066,89,420,13,1607756909398,DUO_SUPPORT,BOTTOM
29,KR,4842395168,875,420,13,1607754704639,DUO_SUPPORT,BOTTOM
